2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
2.32009e-27,3.37544e-27,2.05459e-27,2.26606e-27,2.21417e-27,4.70731e-28,1.53694e-29,7.24682e-32,4.8166e-35,4.44951e-39,5.67074e-44
1.62564e-27,2.3267e-27,1.97016e-27,1.88553e-27,1.87807e-27,4.35055e-28,1.49124e-29,7.32892e-32,5.33159e-35,6.46687e-39,1.56768e-43
2.0519e-27,2.65539e-27,1.87805e-27,9.63659e-28,3.70486e-28,1.14264e-28,9.89557e-30,1.63744e-31,4.14187e-34,1.46651e-37,7.08855e-42
1.97293e-27,2.72357e-27,2.32123e-27,1.31361e-27,6.79569e-28,5.21088e-28,7.4474e-29,1.45568e-30,3.85276e-33,1.38013e-36,6.69098e-41
9.01543e-28,1.4656e-27,1.52348e-27,7.30083e-28,7.10953e-28,6.60964e-28,9.51723e-29,1.86126e-30,4.92668e-33,1.76488e-36,8.55628e-41
2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
2.32009e-27,3.37544e-27,2.05459e-27,2.26606e-27,2.21417e-27,4.70731e-28,1.53694e-29,7.24682e-32,4.8166e-35,4.44951e-39,5.67074e-44
1.62564e-27,2.3267e-27,1.97016e-27,1.88553e-27,1.87807e-27,4.35055e-28,1.49124e-29,7.32892e-32,5.33159e-35,6.46687e-39,1.56768e-43
2.0519e-27,2.65539e-27,1.87805e-27,9.63659e-28,3.70486e-28,1.14264e-28,9.89557e-30,1.63744e-31,4.14187e-34,1.46651e-37,7.08855e-42
1.97293e-27,2.72357e-27,2.32123e-27,1.31361e-27,6.79569e-28,5.21088e-28,7.4474e-29,1.45568e-30,3.85276e-33,1.38013e-36,6.69098e-41
9.01543e-28,1.4656e-27,1.52348e-27,7.30083e-28,7.10953e-28,6.60964e-28,9.51723e-29,1.86126e-30,4.92668e-33,1.76488e-36,8.55628e-41
2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
2.32009e-27,3.37544e-27,2.05459e-27,2.26606e-27,2.21417e-27,4.70731e-28,1.53694e-29,7.24682e-32,4.8166e-35,4.44951e-39,5.67074e-44
1.62564e-27,2.3267e-27,1.97016e-27,1.88553e-27,1.87807e-27,4.35055e-28,1.49124e-29,7.32892e-32,5.33159e-35,6.46687e-39,1.56768e-43
2.0519e-27,2.65539e-27,1.87805e-27,9.63659e-28,3.70486e-28,1.14264e-28,9.89557e-30,1.63744e-31,4.14187e-34,1.46651e-37,7.08855e-42
1.97293e-27,2.72357e-27,2.32123e-27,1.31361e-27,6.79569e-28,5.21088e-28,7.4474e-29,1.45568e-30,3.85276e-33,1.38013e-36,6.69098e-41
9.01543e-28,1.4656e-27,1.52348e-27,7.30083e-28,7.10953e-28,6.60964e-28,9.51723e-29,1.86126e-30,4.92668e-33,1.76488e-36,8.55628e-41
2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
2.32009e-27,3.37544e-27,2.05459e-27,2.26606e-27,2.21417e-27,4.70731e-28,1.53694e-29,7.24682e-32,4.8166e-35,4.44951e-39,5.67074e-44
1.62564e-27,2.3267e-27,1.97016e-27,1.88553e-27,1.87807e-27,4.35055e-28,1.49124e-29,7.32892e-32,5.33159e-35,6.46687e-39,1.56768e-43
2.0519e-27,2.65539e-27,1.87805e-27,9.63659e-28,3.70486e-28,1.14264e-28,9.89557e-30,1.63744e-31,4.14187e-34,1.46651e-37,7.08855e-42
1.97293e-27,2.72357e-27,2.32123e-27,1.31361e-27,6.79569e-28,5.21088e-28,7.4474e-29,1.45568e-30,3.85276e-33,1.38013e-36,6.69098e-41
9.01543e-28,1.4656e-27,1.52348e-27,7.30083e-28,7.10953e-28,6.60964e-28,9.51723e-29,1.86126e-30,4.92668e-33,1.76488e-36,8.55628e-41
2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
2.32009e-27,3.37544e-27,2.05459e-27,2.26606e-27,2.21417e-27,4.70731e-28,1.53694e-29,7.24682e-32,4.8166e-35,4.44951e-39,5.67074e-44
1.62564e-27,2.3267e-27,1.97016e-27,1.88553e-27,1.87807e-27,4.35055e-28,1.49124e-29,7.32892e-32,5.33159e-35,6.46687e-39,1.56768e-43
2.0519e-27,2.65539e-27,1.87805e-27,9.63659e-28,3.70486e-28,1.14264e-28,9.89557e-30,1.63744e-31,4.14187e-34,1.46651e-37,7.08855e-42
1.97293e-27,2.72357e-27,2.32123e-27,1.31361e-27,6.79569e-28,5.21088e-28,7.4474e-29,1.45568e-30,3.85276e-33,1.38013e-36,6.69098e-41
9.01543e-28,1.4656e-27,1.52348e-27,7.30083e-28,7.10953e-28,6.60964e-28,9.51723e-29,1.86126e-30,4.92668e-33,1.76488e-36,8.55628e-41
2.15879e-27,2.90117e-27,1.55379e-27,1.12511e-27,5.11866e-28,7.8716e-29,2.31265e-30,1.04114e-32,6.77782e-36,6.21348e-40,7.89691e-45
