No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.72, 2.73272, -1.27845,1.90092,9.26728, 1.27845,-1.90092
0.73, 2.71994, -1.25944,1.92009,9.28006, 1.25944,-1.92009
0.74, 2.70734, -1.24024,1.93899,9.29266, 1.24024,-1.93899
0.75, 2.69494, -1.22085,1.95759,9.30506, 1.22085,-1.95759
0.76, 2.68273, -1.20128,1.9759,9.31727, 1.20128,-1.9759
0.77, 2.67072, -1.18152,1.99392,9.32928, 1.18152,-1.99392
0.78, 2.6589, -1.16158,2.01164,9.3411, 1.16158,-2.01164
0.79, 2.64729, -1.14146,2.02907,9.35271, 1.14146,-2.02907
0.8, 2.63587, -1.12117,2.04619,9.36413, 1.12117,-2.04619
0.81, 2.62466, -1.10071,2.06301,9.37534, 1.10071,-2.06301
0.82, 2.61366, -1.08008,2.07952,9.38634, 1.08008,-2.07952
0.83, 2.60285, -1.05928,2.09572,9.39715, 1.05928,-2.09572
0.84, 2.59226, -1.03833,2.11161,9.40774, 1.03833,-2.11161
0.85, 2.58188, -1.01721,2.12718,9.41812, 1.01721,-2.12718
0.86, 2.57171, -0.99594,2.14244,9.42829, 0.99594,-2.14244
0.87, 2.56175, -0.974515,2.15738,9.43825, 0.974515,-2.15738
0.88, 2.552, -0.952941,2.172,9.448, 0.952941,-2.172
0.89, 2.54247, -0.931221,2.18629,9.45753, 0.931221,-2.18629
0.9, 2.53316, -0.909359,2.20026,9.46684, 0.909358,-2.20026
0.91, 2.52407, -0.887356,2.2139,9.47593, 0.887356,-2.2139
0.92, 2.51519, -0.865217,2.22721,9.48481, 0.865217,-2.22721
0.93, 2.50654, -0.842945,2.24019,9.49346, 0.842945,-2.24019
0.94, 2.49811, -0.820543,2.25283,9.50189, 0.820543,-2.25283
0.95, 2.48991, -0.798015,2.26514,9.51009, 0.798015,-2.26514
0.96, 2.48193, -0.775363,2.27711,9.51807, 0.775363,-2.27711
0.97, 2.47417, -0.752592,2.28874,9.52583, 0.752592,-2.28874
0.98, 2.46665, -0.729705,2.30003,9.53335, 0.729705,-2.30003
0.99, 2.45935, -0.706704,2.31098,9.54065, 0.706704,-2.31098
1, 2.45228, -0.683595,2.32158,9.54772, 0.683595,-2.32158
1.01, 2.44545, -0.660379,2.33183,9.55455, 0.660379,-2.33183
1.02, 2.43884, -0.637061,2.34174,9.56116, 0.637061,-2.34174
1.03, 2.43247, -0.613643,2.35129,9.56753, 0.613643,-2.35129
1.04, 2.42634, -0.59013,2.3605,9.57366, 0.59013,-2.3605
1.05, 2.42043, -0.566525,2.36935,9.57957, 0.566525,-2.36935
1.06, 2.41477, -0.542832,2.37785,9.58523, 0.542832,-2.37785
1.07, 2.40934, -0.519053,2.38599,9.59066, 0.519053,-2.38599
1.08, 2.40415, -0.495193,2.39377,9.59585, 0.495193,-2.39377
1.09, 2.3992, -0.471256,2.4012,9.6008, 0.471256,-2.4012
1.1, 2.39449, -0.447244,2.40827,9.60551, 0.447244,-2.40827
1.11, 2.39001, -0.423161,2.41498,9.60999, 0.423161,-2.41498
1.12, 2.38578, -0.399011,2.42133,9.61422, 0.399011,-2.42133
1.13, 2.38179, -0.374798,2.42731,9.61821, 0.374798,-2.42731
1.14, 2.37804, -0.350525,2.43293,9.62196, 0.350525,-2.43294
1.15, 2.37454, -0.326195,2.43819,9.62546, 0.326195,-2.43819
1.16, 2.37128, -0.301813,2.44309,9.62872, 0.301813,-2.44309
1.17, 2.36826, -0.277383,2.44761,9.63174, 0.277383,-2.44761
1.18, 2.36548, -0.252906,2.45177,9.63452, 0.252906,-2.45177
1.19, 2.36296, -0.228389,2.45557,9.63704, 0.228389,-2.45557
1.2, 2.36067, -0.203833,2.45899,9.63933, 0.203833,-2.45899
1.21, 2.35863, -0.179243,2.46205,9.64137, 0.179243,-2.46205
1.22, 2.35684, -0.154623,2.46474,9.64316, 0.154623,-2.46474
