No iterations: 200
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.01, 0.990005, -0.998355,0.394587,2.01, 0.998355,-0.394586
0.02, 0.980043, -0.99277,0.787882,2.01996, 0.99277,-0.787883
0.03, 0.970153, -0.983262,1.17832,2.02985, 0.983262,-1.17832
0.04, 0.960374, -0.969867,1.56437,2.03963, 0.969867,-1.56437
0.05, 0.950745, -0.952636,1.9445,2.04925, 0.952636,-1.9445
0.06, 0.941305, -0.931634,2.3172,2.0587, 0.931634,-2.3172
0.07, 0.93209, -0.906942,2.681,2.06791, 0.906942,-2.681
0.08, 0.923136, -0.878653,3.03446,2.07686, 0.878653,-3.03446
0.09, 0.91448, -0.846879,3.37618,2.08552, 0.846879,-3.37618
0.1, 0.906157, -0.811741,3.70479,2.09384, 0.811741,-3.70479
0.11, 0.898197, -0.773376,4.01901,2.1018, 0.773376,-4.01901
0.12, 0.890635, -0.731934,4.31756,2.10937, 0.731934,-4.31756
0.13, 0.883499, -0.687576,4.59927,2.1165, 0.687576,-4.59927
0.14, 0.876818, -0.640475,4.86302,2.12318, 0.640475,-4.86302
0.15, 0.870619, -0.590816,5.10775,2.12938, 0.590816,-5.10775
0.16, 0.864927, -0.538792,5.33248,2.13507, 0.538792,-5.33248
0.17, 0.859764, -0.484607,5.53631,2.14024, 0.484607,-5.53631
0.18, 0.855151, -0.428474,5.71842,2.14485, 0.428474,-5.71842
0.19, 0.851106, -0.370614,5.87809,2.14889, 0.370614,-5.87809
0.2, 0.847647, -0.311252,6.01466,2.15235, 0.311252,-6.01466
0.21, 0.844786, -0.250624,6.12759,2.15521, 0.250624,-6.12759
0.22, 0.842537, -0.188966,6.2164,2.15746, 0.188966,-6.2164
0.23, 0.840907, -0.126522,6.28074,2.15909, 0.126522,-6.28075
0.24, 0.839904, -0.0635371,6.32034,2.1601, 0.0635371,-6.32034
0.25, 0.839532, -0.000260411,6.33502,2.16047, 0.000260423,-6.33502
0.26, 0.839793, 0.0630589,6.3247,2.16021, -0.0630589,-6.3247
0.27, 0.840687, 0.126171,6.28941,2.15931, -0.126171,-6.28941
0.28, 0.84221, 0.188827,6.22929,2.15779, -0.188827,-6.22929
0.29, 0.844357, 0.250778,6.14453,2.15564, -0.250778,-6.14453
0.3, 0.84712, 0.311781,6.03547,2.15288, -0.311781,-6.03548
0.31, 0.850487, 0.371593,5.90252,2.14951, -0.371593,-5.90252
0.32, 0.854447, 0.429978,5.74619,2.14555, -0.429978,-5.74619
0.33, 0.858984, 0.486704,5.56707,2.14102, -0.486704,-5.56707
0.34, 0.864081, 0.541547,5.36587,2.13592, -0.541547,-5.36587
0.35, 0.869717, 0.594289,5.14335,2.13028, -0.594289,-5.14335
0.36, 0.875872, 0.644719,4.9004,2.12413, -0.644719,-4.9004
0.37, 0.88252, 0.692639,4.63794,2.11748, -0.692639,-4.63794
0.38, 0.889636, 0.737856,4.357,2.11036, -0.737856,-4.357
0.39, 0.897192, 0.780191,4.05869,2.10281, -0.780191,-4.05869
0.4, 0.905159, 0.819475,3.74415,2.09484, -0.819475,-3.74415
0.41, 0.913506, 0.85555,3.41464,2.08649, -0.85555,-3.41464
0.42, 0.9222, 0.888273,3.07143,2.0778, -0.888273,-3.07143
0.43, 0.931206, 0.917511,2.71588,2.06879, -0.917511,-2.71588
0.44, 0.94049, 0.943148,2.34938,2.05951, -0.943148,-2.34938
0.45, 0.950014, 0.965079,1.97335,2.04999, -0.965079,-1.97335
0.46, 0.959743, 0.983215,1.5893,2.04026, -0.983215,-1.5893
0.47, 0.969636, 0.997484,1.19872,2.03036, -0.997484,-1.19872
0.48, 0.979656, 1.00782,0.80315,2.02034, -1.00782,-0.80315
0.49, 0.989763, 1.01419,0.404155,2.01024, -1.01419,-0.404157
0.5, 0.999916, 1.01657,0.00330061,2.00008, -1.01657,-0.00330218
0.51, 1.01008, 1.01493,-0.397833,1.98992, -1.01493,0.397833
0.52, 1.0202, 1.00928,-0.797658,1.9798, -1.00928,0.797658
0.53, 1.03026, 0.999649,-1.1946,1.96974, -0.999649,1.1946
0.54, 1.0402, 0.986065,-1.58708,1.9598, -0.986065,1.58708
0.55, 1.04999, 0.96858,-1.97357,1.95001, -0.96858,1.97357
0.56, 1.05959, 0.947261,-2.35251,1.94041, -0.947261,2.35251
0.57, 1.06896, 0.92219,-2.72242,1.93104, -0.92219,2.72242
0.58, 1.07806, 0.893463,-3.08183,1.92194, -0.893463,3.08183
0.59, 1.08687, 0.86119,-3.42931,1.91313, -0.86119,3.42931
