No iterations: 40000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
5e-05, 0.99995, -1,0.00197582,2.00005, 1,-0.0019766
0.0001, 0.9999, -1,0.00394693,2.0001, 1,-0.00394536
0.00015, 0.99985, -1,0.00592118,2.00015, 1,-0.00592039
0.0002, 0.9998, -0.999999,0.00789621,2.0002, 0.999999,-0.00789699
0.00025, 0.99975, -0.999999,0.00987046,2.00025, 0.999999,-0.00987203
0.0003, 0.9997, -0.999998,0.0118416,2.0003, 0.999998,-0.0118408
0.00035, 0.99965, -0.999998,0.0138174,2.00035, 0.999998,-0.0138174
0.0004, 0.9996, -0.999997,0.0157932,2.0004, 0.999997,-0.015794
0.00045, 0.99955, -0.999996,0.0177643,2.00045, 0.999996,-0.0177627
0.0005, 0.9995, -0.999995,0.0197386,2.0005, 0.999995,-0.0197378
0.00055, 0.99945, -0.999994,0.0217136,2.00055, 0.999994,-0.0217144
0.0006, 0.9994, -0.999993,0.0236878,2.0006, 0.999993,-0.0236894
0.00065, 0.99935, -0.999992,0.025659,2.00065, 0.999992,-0.0256582
0.0007, 0.9993, -0.99999,0.0276348,2.0007, 0.99999,-0.0276348
0.00075, 0.99925, -0.999989,0.0296106,2.00075, 0.999989,-0.0296114
0.0008, 0.9992, -0.999987,0.0315817,2.0008, 0.999987,-0.0315801
0.00085, 0.99915, -0.999986,0.0335559,2.00085, 0.999986,-0.0335552
0.0009, 0.9991, -0.999984,0.035531,2.0009, 0.999984,-0.0355318
0.00095, 0.99905, -0.999982,0.0375052,2.00095, 0.999982,-0.0375068
0.001, 0.999, -0.99998,0.0394763,2.001, 0.99998,-0.0394756
0.00105, 0.99895, -0.999978,0.0414522,2.00105, 0.999978,-0.0414522
0.0011, 0.9989, -0.999976,0.043428,2.0011, 0.999976,-0.0434288
0.00115, 0.99885, -0.999974,0.0453991,2.00115, 0.999974,-0.0453975
0.0012, 0.9988, -0.999972,0.0473725,2.0012, 0.999972,-0.0473725
0.00125, 0.99875, -0.999969,0.0493484,2.00125, 0.999969,-0.0493492
0.0013, 0.9987, -0.999967,0.0513226,2.0013, 0.999967,-0.0513242
0.00135, 0.99865, -0.999964,0.0532937,2.00135, 0.999964,-0.0532929
0.0014, 0.9986, -0.999962,0.0552695,2.0014, 0.999962,-0.0552695
0.00145, 0.99855, -0.999959,0.0572454,2.00145, 0.999959,-0.0572461
0.0015, 0.9985, -0.999956,0.0592141,2.0015, 0.999956,-0.0592133
0.00155, 0.99845, -0.999953,0.0611899,2.00155, 0.999953,-0.0611899
0.0016, 0.9984, -0.99995,0.0631658,2.0016, 0.99995,-0.0631665
0.00165, 0.99835, -0.999947,0.0651369,2.00165, 0.999947,-0.0651353
0.0017, 0.9983, -0.999943,0.0671111,2.0017, 0.999943,-0.0671103
0.00175, 0.99825, -0.99994,0.0690869,2.00175, 0.99994,-0.0690869
0.0018, 0.9982, -0.999936,0.0710604,2.0018, 0.999936,-0.071062
0.00185, 0.99815, -0.999933,0.0730315,2.00185, 0.999933,-0.0730307
0.0019, 0.9981, -0.999929,0.0750073,2.0019, 0.999929,-0.0750073
0.00195, 0.99805, -0.999925,0.0769831,2.00195, 0.999925,-0.0769839
0.002, 0.998, -0.999921,0.0789542,2.002, 0.999921,-0.0789527
0.00205, 0.99795, -0.999917,0.0809277,2.00205, 0.999917,-0.0809277
0.0021, 0.9979, -0.999913,0.0829035,2.0021, 0.999913,-0.0829043
