No iterations: 400
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.005, 0.995001, -0.999589,0.197368,2.005, 0.999589,-0.197368
0.01, 0.990005, -0.998191,0.394574,2.00999, 0.998191,-0.394575
0.015, 0.985019, -0.995808,0.591421,2.01498, 0.995808,-0.59142
0.02, 0.980047, -0.992442,0.78772,2.01995, 0.992442,-0.787721
0.025, 0.975093, -0.988095,0.983271,2.02491, 0.988095,-0.983273
0.03, 0.970164, -0.982773,1.17789,2.02984, 0.982773,-1.17789
0.035, 0.965263, -0.976481,1.37137,2.03474, 0.976481,-1.37137
0.04, 0.960395, -0.969223,1.56353,2.0396, 0.969223,-1.56353
0.045, 0.955566, -0.961008,1.75418,2.04443, 0.961008,-1.75418
0.05, 0.95078, -0.951843,1.94313,2.04922, 0.951843,-1.94313
0.055, 0.946042, -0.941737,2.13019,2.05396, 0.941737,-2.13019
0.06, 0.941356, -0.9307,2.31518,2.05864, 0.9307,-2.31518
0.065, 0.936727, -0.918743,2.49793,2.06327, 0.918743,-2.49793
0.07, 0.93216, -0.905877,2.67823,2.06784, 0.905877,-2.67823
0.075, 0.927659, -0.892115,2.85592,2.07234, 0.892115,-2.85592
0.08, 0.923228, -0.87747,3.03082,2.07677, 0.87747,-3.03082
0.085, 0.918873, -0.861957,3.20275,2.08113, 0.861957,-3.20275
0.09, 0.914597, -0.845591,3.37156,2.0854, 0.845591,-3.37156
0.095, 0.910405, -0.828388,3.53707,2.08959, 0.828388,-3.53707
0.1, 0.9063, -0.810364,3.69911,2.0937, 0.810364,-3.69911
0.105, 0.902288, -0.791537,3.85753,2.09771, 0.791537,-3.85753
0.11, 0.898371, -0.771926,4.01217,2.10163, 0.771926,-4.01216
0.115, 0.894553, -0.751551,4.16287,2.10545, 0.751551,-4.16287
0.12, 0.890839, -0.73043,4.30949,2.10916, 0.73043,-4.30949
0.125, 0.887233, -0.708585,4.45188,2.11277, 0.708585,-4.45188
0.13, 0.883736, -0.686037,4.5899,2.11626, 0.686037,-4.5899
0.135, 0.880354, -0.662808,4.72342,2.11965, 0.662808,-4.72342
0.14, 0.87709, -0.638921,4.85229,2.12291, 0.638921,-4.85229
0.145, 0.873946, -0.6144,4.9764,2.12605, 0.6144,-4.9764
0.15, 0.870927, -0.589268,5.09561,2.12907, 0.589268,-5.09561
0.155, 0.868034, -0.563551,5.20982,2.13197, 0.563551,-5.20982
0.16, 0.865271, -0.537274,5.3189,2.13473, 0.537274,-5.3189
0.165, 0.86264, -0.510461,5.42276,2.13736, 0.510461,-5.42276
0.17, 0.860144, -0.483141,5.52128,2.13986, 0.483141,-5.52128
0.175, 0.857787, -0.455339,5.61437,2.14221, 0.455339,-5.61437
0.18, 0.855569, -0.427084,5.70192,2.14443, 0.427084,-5.70192
0.185, 0.853493, -0.398402,5.78387,2.14651, 0.398402,-5.78387
0.19, 0.851561, -0.369322,5.86012,2.14844, 0.369322,-5.86012
0.195, 0.849776, -0.339873,5.93061,2.15022, 0.339873,-5.9306
0.2, 0.848139, -0.310084,5.99525,2.15186, 0.310084,-5.99525
0.205, 0.846651, -0.279984,6.05398,2.15335, 0.279984,-6.05398
0.21, 0.845314, -0.249603,6.10676,2.15469, 0.249603,-6.10676
0.215, 0.84413, -0.21897,6.15351,2.15587, 0.21897,-6.15351
0.22, 0.843099, -0.188117,6.1942,2.1569, 0.188117,-6.1942
0.225, 0.842223, -0.157072,6.22878,2.15778, 0.157072,-6.22878
0.23, 0.841503, -0.125867,6.25721,2.1585, 0.125867,-6.25721
0.235, 0.840939, -0.0945334,6.27948,2.15906, 0.0945334,-6.27948
0.24, 0.840532, -0.063101,6.29556,2.15947, 0.063101,-6.29556
0.245, 0.840282, -0.0316012,6.30542,2.15972, 0.0316011,-6.30542
0.25, 0.840189, -6.49252e-05,6.30907,2.15981, 6.49181e-05,-6.30907
0.255, 0.840255, 0.0314766,6.30649,2.15975, -0.0314766,-6.30649
0.26, 0.840478, 0.0629922,6.29768,2.15952, -0.0629922,-6.29768
0.265, 0.840858, 0.0944508,6.28266,2.15914, -0.0944508,-6.28266
0.27, 0.841396, 0.125821,6.26143,2.1586, -0.125821,-6.26143
0.275, 0.84209, 0.157073,6.23403,2.15791, -0.157073,-6.23402
0.28, 0.84294, 0.188175,6.20046,2.15706, -0.188175,-6.20046
0.285, 0.843946, 0.219096,6.16077,2.15605, -0.219096,-6.16078
0.29, 0.845105, 0.249806,6.115,2.15489, -0.249806,-6.115
0.295, 0.846418, 0.280274,6.06318,2.15358, -0.280274,-6.06318
0.3, 0.847882, 0.310471,6.00537,2.15212, -0.310471,-6.00537
0.305, 0.849497, 0.340367,5.94162,2.1505, -0.340367,-5.94162
0.31, 0.85126, 0.369931,5.872,2.14874, -0.369931,-5.872
