No iterations: 20
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.1, 0.904935, -0.838754,3.75302,2.09507, 0.838754,-3.75302
0.2, 0.840527, -0.346726,6.29572,2.15947, 0.346726,-6.29572
0.3, 0.83328, 0.307687,6.58183,2.16672, -0.307687,-6.58183
0.4, 0.889414, 0.883777,4.36578,2.11059, -0.883777,-4.36578
0.5, 0.991262, 1.1563,0.344974,2.00874, -1.1563,-0.344973
0.6, 1.10259, 1.00265,-4.05029,1.8974, -1.00265,4.05029
0.7, 1.18137, 0.455934,-7.16016,1.81863, -0.455935,7.16016
0.8, 1.19547, -0.298266,-7.71674,1.80453, 0.298265,7.71674
0.9, 1.13559, -0.983765,-5.35305,1.86441, 0.983765,5.35305
1, 1.02021, -1.33403,-0.797794,1.97979, 1.33403,0.797794
1.1, 0.89013, -1.19476,4.33747,2.10987, 1.19476,-4.33747
1.2, 0.794266, -0.589767,8.12204,2.20573, 0.589767,-8.12203
1.3, 0.771374, 0.277454,9.0258,2.22863, -0.277454,-9.02579
1.4, 0.834615, 1.09075,6.52913,2.16538, -1.09075,-6.52913
1.5, 0.964976, 1.53557,1.3827,2.03502, -1.53557,-1.3827
1.6, 1.1166, 1.41941,-4.60328,1.8834, -1.41941,4.60328
1.7, 1.23274, 0.752923,-9.18809,1.76726, -0.752923,9.18809
1.8, 1.26679, -0.241951,-10.5323,1.73321, 0.241951,10.5323
1.9, 1.20077, -1.20419,-7.92594,1.79923, 1.20419,7.92594
2, 1.05392, -1.7635,-2.12856,1.94608, 1.7635,2.12856
