Node position, Conserved Quantity
0, 273.14999999999998
0.00025000000000000001, 273.15000000089117
0.00050000000000000001, 273.15000000237643
0.00075000000000000002, 273.1500000048519
0.001, 273.15000000897766
0.00125, 273.15000001585395
0.0015, 273.15000002731438
0.0017500000000000003, 273.15000004641513
0.002, 273.15000007824983
0.0022499999999999998, 273.15000013130759
0.0025000000000000001, 273.15000021973719
0.0027499999999999998, 273.15000036711984
0.0030000000000000001, 273.15000061275748
0.0032500000000000003, 273.15000102215367
0.0035000000000000005, 273.1500017044807
0.0037499999999999999, 273.1500028416923
0.0040000000000000001, 273.15000473704492
0.0042500000000000003, 273.15000789596581
0.0044999999999999997, 273.15001316083402
0.0047499999999999999, 273.15002193561429
0.0050000000000000001, 273.15003656024805
0.0052499999999999995, 273.15006093463774
0.0054999999999999997, 273.15010155862041
0.0057499999999999999, 273.15016926525823
0.0060000000000000001, 273.15028210965465
0.0062500000000000003, 273.15047018364868
0.0065000000000000006, 273.15078364030552
0.0067500000000000008, 273.1513060680669
0.007000000000000001, 273.15217678100254
0.0072499999999999995, 273.15362796922852
0.0074999999999999997, 273.15604661627174
0.0077499999999999999, 273.16007769467711
0.0080000000000000002, 273.16679615868605
0.0082500000000000004, 273.17799359870099
0.0085000000000000006, 273.19665599872599
0.0087500000000000008, 273.22775999876757
0.0089999999999999993, 273.27959999883683
0.0092499999999999995, 273.3659999989523
0.0094999999999999998, 273.50999999914472
0.00975, 273.74999999946544
0.01, 274.14999999999998
