No iterations: 20000
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.0069, 0.993101, -0.999383,0.181565,2.0069, 0.999383,-0.181565
0.007, 0.993001, -0.999364,0.184194,2.007, 0.999364,-0.184194
0.0071, 0.992902, -0.999346,0.186824,2.0071, 0.999346,-0.186823
0.0072, 0.992802, -0.999327,0.189456,2.0072, 0.999327,-0.189453
0.0073, 0.992702, -0.999308,0.192085,2.0073, 0.999308,-0.192088
0.0074, 0.992602, -0.999289,0.194716,2.0074, 0.999289,-0.194717
0.0075, 0.992502, -0.99927,0.197346,2.0075, 0.99927,-0.197346
0.0076, 0.992402, -0.99925,0.199976,2.0076, 0.99925,-0.199976
0.0077, 0.992302, -0.99923,0.202605,2.0077, 0.99923,-0.202605
0.0078, 0.992202, -0.99921,0.205235,2.0078, 0.99921,-0.205234
0.0079, 0.992102, -0.999189,0.207864,2.0079, 0.999189,-0.207863
0.008, 0.992002, -0.999168,0.210493,2.008, 0.999168,-0.210492
0.0081, 0.991902, -0.999147,0.213125,2.0081, 0.999147,-0.213122
0.0082, 0.991802, -0.999126,0.215754,2.0082, 0.999126,-0.215757
0.0083, 0.991702, -0.999104,0.218383,2.0083, 0.999104,-0.218386
0.0084, 0.991603, -0.999083,0.221015,2.0084, 0.999083,-0.221015
0.0085, 0.991503, -0.999061,0.223644,2.0085, 0.999061,-0.223645
0.0086, 0.991403, -0.999038,0.226273,2.0086, 0.999038,-0.226274
0.0087, 0.991303, -0.999016,0.228902,2.0087, 0.999016,-0.228903
0.0088, 0.991203, -0.998993,0.231531,2.0088, 0.998993,-0.231532
0.0089, 0.991103, -0.99897,0.234161,2.0089, 0.99897,-0.234161
0.009, 0.991003, -0.998946,0.23679,2.009, 0.998946,-0.236791
0.0091, 0.990903, -0.998922,0.239419,2.0091, 0.998922,-0.23942
0.0092, 0.990803, -0.998898,0.242048,2.0092, 0.998898,-0.242049
0.0093, 0.990703, -0.998874,0.244677,2.0093, 0.998874,-0.244678
0.0094, 0.990604, -0.99885,0.247307,2.0094, 0.99885,-0.247307
0.0095, 0.990504, -0.998825,0.249933,2.0095, 0.998825,-0.249937
0.0096, 0.990404, -0.9988,0.252563,2.0096, 0.9988,-0.252566
0.0097, 0.990304, -0.998775,0.255192,2.0097, 0.998775,-0.255189
0.0098, 0.990204, -0.998749,0.257821,2.0098, 0.998749,-0.257818
0.0099, 0.990104, -0.998724,0.260448,2.0099, 0.998724,-0.260447
0.01, 0.990004, -0.998697,0.263077,2.01, 0.998697,-0.263076
0.0101, 0.989904, -0.998671,0.265705,2.0101, 0.998671,-0.265705
0.0102, 0.989805, -0.998645,0.268335,2.0102, 0.998645,-0.268335
0.0103, 0.989705, -0.998618,0.270963,2.0103, 0.998618,-0.270964
0.0104, 0.989605, -0.998591,0.273592,2.0104, 0.998591,-0.273593
0.0105, 0.989505, -0.998563,0.276219,2.0105, 0.998563,-0.276222
0.0106, 0.989405, -0.998536,0.278846,2.01059, 0.998536,-0.278845
0.0107, 0.989305, -0.998508,0.281475,2.01069, 0.998508,-0.281474
0.0108, 0.989205, -0.99848,0.284104,2.01079, 0.99848,-0.284104
0.0109, 0.989106, -0.998451,0.286732,2.01089, 0.998451,-0.286733
0.011, 0.989006, -0.998423,0.289359,2.01099, 0.998423,-0.289362
0.0111, 0.988906, -0.998394,0.291986,2.01109, 0.998394,-0.291985
0.0112, 0.988806, -0.998364,0.294614,2.01119, 0.998364,-0.294614
0.0113, 0.988706, -0.998335,0.297242,2.01129, 0.998335,-0.297243
0.0114, 0.988606, -0.998305,0.299869,2.01139, 0.998305,-0.299872
0.0115, 0.988506, -0.998275,0.302496,2.01149, 0.998275,-0.302495
0.0116, 0.988407, -0.998245,0.305125,2.01159, 0.998245,-0.305125
0.0117, 0.988307, -0.998215,0.307753,2.01169, 0.998215,-0.307754
0.0118, 0.988207, -0.998184,0.310377,2.01179, 0.998184,-0.310377
0.0119, 0.988107, -0.998153,0.313006,2.01189, 0.998153,-0.313006
0.012, 0.988007, -0.998121,0.315634,2.01199, 0.998121,-0.315635
0.0121, 0.987908, -0.99809,0.318259,2.01209, 0.99809,-0.318258
0.0122, 0.987808, -0.998058,0.320887,2.01219, 0.998058,-0.320887
0.0123, 0.987708, -0.998026,0.323513,2.01229, 0.998026,-0.323516
0.0124, 0.987608, -0.997994,0.32614,2.01239, 0.997994,-0.326139
0.0125, 0.987508, -0.997961,0.328768,2.01249, 0.997961,-0.328768
0.0126, 0.987409, -0.997928,0.331392,2.01259, 0.997928,-0.331391
0.0127, 0.987309, -0.997895,0.33402,2.01269, 0.997895,-0.334021
0.0128, 0.987209, -0.997862,0.336647,2.01279, 0.997862,-0.336643
0.0129, 0.987109, -0.997828,0.339273,2.01289, 0.997828,-0.339273
0.013, 0.987009, -0.997794,0.341899,2.01299, 0.997794,-0.341896
0.0131, 0.98691, -0.99776,0.344525,2.01309, 0.99776,-0.344525
0.0132, 0.98681, -0.997725,0.347151,2.01319, 0.997725,-0.347148
0.0133, 0.98671, -0.997691,0.349777,2.01329, 0.997691,-0.349777
0.0134, 0.98661, -0.997656,0.352403,2.01339, 0.997656,-0.3524
0.0135, 0.986511, -0.99762,0.355028,2.01349, 0.99762,-0.355029
0.0136, 0.986411, -0.997585,0.357653,2.01359, 0.997585,-0.357652
0.0137, 0.986311, -0.997549,0.36028,2.01369, 0.997549,-0.360281
0.0138, 0.986211, -0.997513,0.362904,2.01379, 0.997513,-0.362904
0.0139, 0.986112, -0.997477,0.36553,2.01389, 0.997477,-0.365527
0.014, 0.986012, -0.99744,0.368155,2.01399, 0.99744,-0.368156
0.0141, 0.985912, -0.997403,0.37078,2.01409, 0.997403,-0.370779
0.0142, 0.985812, -0.997366,0.373405,2.01419, 0.997366,-0.373408
0.0143, 0.985713, -0.997329,0.376031,2.01429, 0.997329,-0.376031
0.0144, 0.985613, -0.997291,0.378655,2.01439, 0.997291,-0.378654
0.0145, 0.985513, -0.997254,0.38128,2.01449, 0.997254,-0.381277
0.0146, 0.985413, -0.997215,0.383905,2.01459, 0.997215,-0.383906
0.0147, 0.985314, -0.997177,0.386529,2.01469, 0.997177,-0.386529
0.0148, 0.985214, -0.997138,0.389153,2.01479, 0.997138,-0.389152
0.0149, 0.985114, -0.997099,0.391778,2.01489, 0.997099,-0.391781
0.015, 0.985015, -0.99706,0.394403,2.01499, 0.99706,-0.394404
0.0151, 0.984915, -0.997021,0.397027,2.01509, 0.997021,-0.397027
0.0152, 0.984815, -0.996981,0.39965,2.01518, 0.996981,-0.39965
0.0153, 0.984715, -0.996941,0.402274,2.01528, 0.996941,-0.402273
0.0154, 0.984616, -0.996901,0.404899,2.01538, 0.996901,-0.404896
0.0155, 0.984516, -0.99686,0.407522,2.01548, 0.99686,-0.407525
0.0156, 0.984416, -0.99682,0.410147,2.01558, 0.99682,-0.410148
0.0157, 0.984317, -0.996779,0.41277,2.01568, 0.996779,-0.412771
0.0158, 0.984217, -0.996737,0.415393,2.01578, 0.996737,-0.415394
0.0159, 0.984117, -0.996696,0.418017,2.01588, 0.996696,-0.418017
0.016, 0.984018, -0.996654,0.42064,2.01598, 0.996654,-0.42064
0.0161, 0.983918, -0.996612,0.423263,2.01608, 0.996612,-0.423263
0.0162, 0.983818, -0.99657,0.425885,2.01618, 0.99657,-0.425885
0.0163, 0.983719, -0.996527,0.428508,2.01628, 0.996527,-0.428508
0.0164, 0.983619, -0.996484,0.431131,2.01638, 0.996484,-0.431131
0.0165, 0.983519, -0.996441,0.433754,2.01648, 0.996441,-0.433754
0.0166, 0.98342, -0.996398,0.436376,2.01658, 0.996398,-0.436377
0.0167, 0.98332, -0.996354,0.438999,2.01668, 0.996354,-0.439
0.0168, 0.98322, -0.99631,0.441622,2.01678, 0.99631,-0.441623
0.0169, 0.983121, -0.996266,0.444243,2.01688, 0.996266,-0.444246
0.017, 0.983021, -0.996222,0.446866,2.01698, 0.996222,-0.446863
0.0171, 0.982922, -0.996177,0.449486,2.01708, 0.996177,-0.449485
0.0172, 0.982822, -0.996132,0.452108,2.01718, 0.996132,-0.452108
0.0173, 0.982722, -0.996087,0.454731,2.01728, 0.996087,-0.454731
0.0174, 0.982623, -0.996041,0.457353,2.01738, 0.996041,-0.457354
0.0175, 0.982523, -0.995996,0.459974,2.01748, 0.995996,-0.459971
0.0176, 0.982423, -0.99595,0.462595,2.01758, 0.99595,-0.462594
0.0177, 0.982324, -0.995903,0.465217,2.01768, 0.995903,-0.465217
0.0178, 0.982224, -0.995857,0.467839,2.01778, 0.995857,-0.46784
0.0179, 0.982125, -0.99581,0.470457,2.01788, 0.99581,-0.470456
0.018, 0.982025, -0.995763,0.473079,2.01797, 0.995763,-0.473079
0.0181, 0.981926, -0.995716,0.475701,2.01807, 0.995716,-0.475702
0.0182, 0.981826, -0.995668,0.47832,2.01817, 0.995668,-0.478319
0.0183, 0.981726, -0.99562,0.480942,2.01827, 0.99562,-0.480942
0.0184, 0.981627, -0.995572,0.483561,2.01837, 0.995572,-0.483558
0.0185, 0.981527, -0.995524,0.486181,2.01847, 0.995524,-0.486181
0.0186, 0.981428, -0.995475,0.488801,2.01857, 0.995475,-0.488804
0.0187, 0.981328, -0.995426,0.491422,2.01867, 0.995426,-0.491421
0.0188, 0.981229, -0.995377,0.494043,2.01877, 0.995377,-0.494044
0.0189, 0.981129, -0.995328,0.496661,2.01887, 0.995328,-0.49666
0.019, 0.98103, -0.995278,0.49928,2.01897, 0.995278,-0.499283
0.0191, 0.98093, -0.995228,0.5019,2.01907, 0.995228,-0.5019
0.0192, 0.980831, -0.995178,0.50452,2.01917, 0.995178,-0.504523
0.0193, 0.980731, -0.995128,0.50714,2.01927, 0.995128,-0.50714
