No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.73, 3.83548, 2.69951,-0.503219,6.35997, -0.629722,0.960046
0.74, 3.86247, 2.69448,-0.543712,6.35367, -0.620121,0.969493
0.75, 3.88942, 2.68904,-0.584129,6.34747, -0.610427,0.978795
0.76, 3.91631, 2.6832,-0.624464,6.34137, -0.600639,0.987951
0.77, 3.94314, 2.67696,-0.664713,6.33536, -0.590759,0.99696
0.78, 3.96991, 2.67031,-0.704867,6.32945, -0.580789,1.00582
0.79, 3.99661, 2.66326,-0.744922,6.32364, -0.570731,1.01453
0.8, 4.02325, 2.65581,-0.78487,6.31794, -0.560586,1.02309
0.81, 4.04981, 2.64796,-0.824708,6.31233, -0.550355,1.0315
0.82, 4.07628, 2.63972,-0.864427,6.30683, -0.54004,1.03976
0.83, 4.10268, 2.63107,-0.904023,6.30143, -0.529642,1.04786
0.84, 4.12899, 2.62203,-0.943489,6.29613, -0.519164,1.0558
0.85, 4.15521, 2.6126,-0.982819,6.29094, -0.508606,1.06359
0.86, 4.18134, 2.60277,-1.02201,6.28585, -0.49797,1.07122
0.87, 4.20737, 2.59255,-1.06105,6.28087, -0.487258,1.07869
0.88, 4.23329, 2.58194,-1.09994,6.276, -0.476471,1.086
0.89, 4.25911, 2.57094,-1.13867,6.27124, -0.465611,1.09315
0.9, 4.28482, 2.55955,-1.17723,6.26658, -0.454679,1.10013
0.91, 4.31042, 2.54778,-1.21563,6.26203, -0.443678,1.10695
0.92, 4.33589, 2.53562,-1.25384,6.2576, -0.432608,1.11361
0.93, 4.36125, 2.52309,-1.29188,6.25327, -0.421472,1.12009
0.94, 4.38648, 2.51017,-1.32972,6.24906, -0.410271,1.12642
0.95, 4.41158, 2.49687,-1.36737,6.24495, -0.399007,1.13257
0.96, 4.43655, 2.4832,-1.40483,6.24096, -0.387682,1.13856
0.97, 4.46138, 2.46915,-1.44208,6.23709, -0.376296,1.14437
0.98, 4.48608, 2.45473,-1.47911,6.23332, -0.364852,1.15002
0.99, 4.51062, 2.43994,-1.51593,6.22967, -0.353352,1.15549
1, 4.53502, 2.42478,-1.55253,6.22614, -0.341797,1.16079
1.01, 4.55927, 2.40925,-1.5889,6.22272, -0.330189,1.16592
1.02, 4.58336, 2.39336,-1.62504,6.21942, -0.31853,1.17087
1.03, 4.6073, 2.37711,-1.66094,6.21624, -0.306822,1.17565
1.04, 4.63107, 2.3605,-1.6966,6.21317, -0.295065,1.18025
1.05, 4.65467, 2.34354,-1.73201,6.21022, -0.283263,1.18467
1.06, 4.67811, 2.32622,-1.76716,6.20738, -0.271416,1.18892
1.07, 4.70137, 2.30855,-1.80205,6.20467, -0.259527,1.19299
1.08, 4.72446, 2.29052,-1.83668,6.20207, -0.247597,1.19689
1.09, 4.74736, 2.27216,-1.87104,6.1996, -0.235628,1.2006
1.1, 4.77008, 2.25345,-1.90512,6.19724, -0.223622,1.20414
1.11, 4.79262, 2.2344,-1.93892,6.19501, -0.21158,1.20749
1.12, 4.81496, 2.21501,-1.97244,6.19289, -0.199506,1.21066
1.13, 4.83711, 2.19528,-2.00567,6.1909, -0.187399,1.21366
