No iterations: 3999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.0355, 0.964792, -0.975284,1.38997,2.03521, 0.975284,-1.38997
0.036, 0.964304, -0.974585,1.40922,2.0357, 0.974585,-1.40921
0.0365, 0.963817, -0.973876,1.42845,2.03618, 0.973876,-1.42845
0.037, 0.96333, -0.973158,1.44767,2.03667, 0.973158,-1.44766
0.0375, 0.962844, -0.97243,1.46687,2.03716, 0.97243,-1.46687
0.038, 0.962358, -0.971692,1.48606,2.03764, 0.971692,-1.48606
0.0385, 0.961872, -0.970945,1.50523,2.03813, 0.970945,-1.50523
0.039, 0.961387, -0.970189,1.52439,2.03861, 0.970189,-1.52439
0.0395, 0.960902, -0.969423,1.54354,2.0391, 0.969423,-1.54354
0.04, 0.960417, -0.968647,1.56266,2.03958, 0.968647,-1.56266
0.0405, 0.959933, -0.967862,1.58178,2.04007, 0.967862,-1.58178
0.041, 0.959449, -0.967067,1.60088,2.04055, 0.967067,-1.60088
0.0415, 0.958966, -0.966262,1.61996,2.04103, 0.966262,-1.61996
0.042, 0.958483, -0.965448,1.63903,2.04152, 0.965448,-1.63903
0.0425, 0.958, -0.964625,1.65808,2.042, 0.964625,-1.65808
0.043, 0.957518, -0.963792,1.67711,2.04248, 0.963792,-1.67711
0.0435, 0.957037, -0.962949,1.69613,2.04296, 0.962949,-1.69613
0.044, 0.956555, -0.962097,1.71513,2.04344, 0.962097,-1.71513
0.0445, 0.956074, -0.961236,1.73412,2.04393, 0.961236,-1.73412
0.045, 0.955594, -0.960365,1.75308,2.04441, 0.960365,-1.75308
0.0455, 0.955114, -0.959484,1.77203,2.04489, 0.959484,-1.77203
0.046, 0.954634, -0.958594,1.79096,2.04537, 0.958594,-1.79096
0.0465, 0.954155, -0.957695,1.80988,2.04584, 0.957695,-1.80988
0.047, 0.953677, -0.956786,1.82877,2.04632, 0.956786,-1.82877
0.0475, 0.953198, -0.955868,1.84765,2.0468, 0.955868,-1.84765
0.048, 0.952721, -0.95494,1.86651,2.04728, 0.95494,-1.86651
0.0485, 0.952243, -0.954003,1.88536,2.04776, 0.954003,-1.88536
0.049, 0.951767, -0.953056,1.90418,2.04823, 0.953056,-1.90418
0.0495, 0.95129, -0.9521,1.92299,2.04871, 0.9521,-1.92299
0.05, 0.950814, -0.951135,1.94177,2.04919, 0.951135,-1.94177
0.0505, 0.950339, -0.95016,1.96054,2.04966, 0.95016,-1.96053
0.051, 0.949864, -0.949176,1.97928,2.05014, 0.949176,-1.97928
0.0515, 0.94939, -0.948182,1.99801,2.05061, 0.948182,-1.99801
0.052, 0.948916, -0.947179,2.01672,2.05108, 0.947179,-2.01672
0.0525, 0.948443, -0.946167,2.03541,2.05156, 0.946167,-2.03541
0.053, 0.94797, -0.945146,2.05408,2.05203, 0.945146,-2.05407
0.0535, 0.947497, -0.944115,2.07272,2.0525, 0.944115,-2.07272
0.054, 0.947025, -0.943074,2.09135,2.05297, 0.943074,-2.09135
0.0545, 0.946554, -0.942025,2.10996,2.05345, 0.942025,-2.10996
0.055, 0.946083, -0.940966,2.12855,2.05392, 0.940966,-2.12855
0.0555, 0.945613, -0.939898,2.14711,2.05439, 0.939898,-2.14711
0.056, 0.945143, -0.93882,2.16566,2.05486, 0.93882,-2.16566
0.0565, 0.944674, -0.937734,2.18418,2.05533, 0.937734,-2.18417
0.057, 0.944206, -0.936638,2.20268,2.05579, 0.936638,-2.20268
0.0575, 0.943737, -0.935533,2.22116,2.05626, 0.935533,-2.22115
0.058, 0.94327, -0.934418,2.23961,2.05673, 0.934418,-2.23961
0.0585, 0.942803, -0.933294,2.25805,2.0572, 0.933294,-2.25805
0.059, 0.942337, -0.932162,2.27646,2.05766, 0.932162,-2.27646
0.0595, 0.941871, -0.93102,2.29485,2.05813, 0.93102,-2.29485
0.06, 0.941405, -0.929868,2.31322,2.05859, 0.929868,-2.31322
0.0605, 0.940941, -0.928708,2.33157,2.05906, 0.928708,-2.33157
0.061, 0.940477, -0.927538,2.34989,2.05952, 0.927538,-2.34989
0.0615, 0.940013, -0.92636,2.36819,2.05999, 0.92636,-2.36819
0.062, 0.93955, -0.925172,2.38646,2.06045, 0.925172,-2.38646
0.0625, 0.939088, -0.923975,2.40472,2.06091, 0.923975,-2.40471
0.063, 0.938626, -0.922768,2.42295,2.06137, 0.922768,-2.42295
0.0635, 0.938165, -0.921553,2.44115,2.06184, 0.921553,-2.44115
0.064, 0.937704, -0.920329,2.45933,2.0623, 0.920329,-2.45933
0.0645, 0.937245, -0.919095,2.47749,2.06276, 0.919095,-2.47749
0.065, 0.936785, -0.917853,2.49562,2.06321, 0.917853,-2.49562
0.0655, 0.936327, -0.916601,2.51373,2.06367, 0.916601,-2.51373
0.066, 0.935869, -0.915341,2.53181,2.06413, 0.915341,-2.53181
0.0665, 0.935411, -0.914071,2.54987,2.06459, 0.914071,-2.54986
0.067, 0.934954, -0.912792,2.5679,2.06505, 0.912792,-2.5679
0.0675, 0.934498, -0.911505,2.58591,2.0655, 0.911505,-2.5859
0.068, 0.934043, -0.910208,2.60389,2.06596, 0.910208,-2.60389
0.0685, 0.933588, -0.908902,2.62185,2.06641, 0.908902,-2.62185
0.069, 0.933134, -0.907587,2.63978,2.06687, 0.907587,-2.63978
0.0695, 0.93268, -0.906264,2.65768,2.06732, 0.906264,-2.65768
0.07, 0.932227, -0.904931,2.67556,2.06777, 0.904931,-2.67556
0.0705, 0.931775, -0.90359,2.69341,2.06822, 0.90359,-2.69341
0.071, 0.931324, -0.902239,2.71124,2.06868, 0.902239,-2.71124
0.0715, 0.930873, -0.90088,2.72903,2.06913, 0.90088,-2.72903
0.072, 0.930423, -0.899512,2.7468,2.06958, 0.899512,-2.74681
0.0725, 0.929973, -0.898135,2.76455,2.07003, 0.898135,-2.76455
0.073, 0.929524, -0.896749,2.78226,2.07048, 0.896749,-2.78226
0.0735, 0.929076, -0.895354,2.79995,2.07092, 0.895354,-2.79995
0.074, 0.928629, -0.89395,2.81762,2.07137, 0.89395,-2.81762
0.0745, 0.928182, -0.892538,2.83525,2.07182, 0.892538,-2.83525
0.075, 0.927736, -0.891117,2.85286,2.07226, 0.891117,-2.85286
0.0755, 0.927291, -0.889686,2.87044,2.07271, 0.889686,-2.87044
0.076, 0.926846, -0.888248,2.88798,2.07315, 0.888248,-2.88798
0.0765, 0.926403, -0.8868,2.90551,2.0736, 0.8868,-2.90551
0.077, 0.92596, -0.885344,2.923,2.07404, 0.885344,-2.923
0.0775, 0.925517, -0.883878,2.94046,2.07448, 0.883878,-2.94047
0.078, 0.925076, -0.882405,2.9579,2.07492, 0.882405,-2.9579
0.0785, 0.924635, -0.880922,2.9753,2.07537, 0.880922,-2.9753
0.079, 0.924195, -0.879431,2.99268,2.07581, 0.879431,-2.99268
0.0795, 0.923755, -0.877931,3.01003,2.07624, 0.877931,-3.01003
0.08, 0.923316, -0.876422,3.02734,2.07668, 0.876422,-3.02734
0.0805, 0.922879, -0.874905,3.04463,2.07712, 0.874905,-3.04463
0.081, 0.922441, -0.873379,3.06189,2.07756, 0.873379,-3.06189
0.0815, 0.922005, -0.871844,3.07912,2.07799, 0.871844,-3.07912
0.082, 0.921569, -0.870301,3.09631,2.07843, 0.870301,-3.09632
0.0825, 0.921135, -0.868749,3.11348,2.07887, 0.868749,-3.11348
0.083, 0.920701, -0.867189,3.13062,2.0793, 0.867189,-3.13062
0.0835, 0.920267, -0.86562,3.14772,2.07973, 0.86562,-3.14772
0.084, 0.919835, -0.864043,3.16479,2.08017, 0.864043,-3.16479
0.0845, 0.919403, -0.862457,3.18184,2.0806, 0.862457,-3.18184
0.085, 0.918972, -0.860862,3.19885,2.08103, 0.860862,-3.19885
0.0855, 0.918542, -0.85926,3.21583,2.08146, 0.85926,-3.21583
0.086, 0.918113, -0.857648,3.23278,2.08189, 0.857648,-3.23278
0.0865, 0.917684, -0.856028,3.24969,2.08232, 0.856028,-3.24969
0.087, 0.917257, -0.8544,3.26658,2.08274, 0.8544,-3.26658
0.0875, 0.91683, -0.852763,3.28343,2.08317, 0.852763,-3.28343
0.088, 0.916404, -0.851118,3.30025,2.0836, 0.851118,-3.30025
0.0885, 0.915979, -0.849464,3.31703,2.08402, 0.849464,-3.31703
0.089, 0.915554, -0.847802,3.33379,2.08445, 0.847802,-3.33378
0.0895, 0.915131, -0.846132,3.35051,2.08487, 0.846132,-3.35051
0.09, 0.914708, -0.844453,3.3672,2.08529, 0.844453,-3.3672
0.0905, 0.914286, -0.842766,3.38385,2.08571, 0.842766,-3.38385
0.091, 0.913865, -0.841071,3.40047,2.08613, 0.841071,-3.40047
0.0915, 0.913445, -0.839367,3.41706,2.08656, 0.839367,-3.41706
0.092, 0.913026, -0.837655,3.43361,2.08697, 0.837655,-3.43361
0.0925, 0.912607, -0.835935,3.45014,2.08739, 0.835935,-3.45014
0.093, 0.912189, -0.834206,3.46662,2.08781, 0.834206,-3.46662
0.0935, 0.911773, -0.832469,3.48307,2.08823, 0.832469,-3.48307
0.094, 0.911357, -0.830724,3.49949,2.08864, 0.830724,-3.49949
0.0945, 0.910942, -0.828971,3.51588,2.08906, 0.828971,-3.51588
0.095, 0.910528, -0.82721,3.53222,2.08947, 0.82721,-3.53222
0.0955, 0.910114, -0.82544,3.54854,2.08989, 0.82544,-3.54854
