No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.008, 0.992003, -0.998753,0.3157,2.008, 0.998753,-0.315701
0.0081, 0.991903, -0.998721,0.319644,2.0081, 0.998721,-0.319645
0.0082, 0.991803, -0.998689,0.323588,2.0082, 0.998689,-0.323588
0.0083, 0.991704, -0.998657,0.327529,2.0083, 0.998657,-0.327531
0.0084, 0.991604, -0.998624,0.33147,2.0084, 0.998624,-0.331468
0.0085, 0.991504, -0.998591,0.335411,2.0085, 0.998591,-0.33541
0.0086, 0.991404, -0.998557,0.339354,2.0086, 0.998557,-0.339354
0.0087, 0.991304, -0.998523,0.343298,2.0087, 0.998523,-0.343298
0.0088, 0.991204, -0.998489,0.347241,2.0088, 0.998489,-0.347242
0.0089, 0.991104, -0.998454,0.351182,2.0089, 0.998454,-0.351184
0.009, 0.991005, -0.998419,0.355121,2.009, 0.998419,-0.35512
0.0091, 0.990905, -0.998384,0.359064,2.0091, 0.998384,-0.359064
0.0092, 0.990805, -0.998348,0.363007,2.0092, 0.998348,-0.363008
0.0093, 0.990705, -0.998312,0.366948,2.00929, 0.998312,-0.36695
0.0094, 0.990605, -0.998275,0.370887,2.00939, 0.998275,-0.370886
0.0095, 0.990505, -0.998238,0.37483,2.00949, 0.998238,-0.37483
0.0096, 0.990406, -0.9982,0.378773,2.00959, 0.9982,-0.378773
0.0097, 0.990306, -0.998162,0.382708,2.00969, 0.998162,-0.382708
0.0098, 0.990206, -0.998124,0.386652,2.00979, 0.998124,-0.386652
0.0099, 0.990106, -0.998085,0.390595,2.00989, 0.998085,-0.390595
0.01, 0.990006, -0.998046,0.39453,2.00999, 0.998046,-0.39453
0.0101, 0.989907, -0.998007,0.398473,2.01009, 0.998007,-0.398473
0.0102, 0.989807, -0.997967,0.402411,2.01019, 0.997967,-0.402409
0.0103, 0.989707, -0.997927,0.406352,2.01029, 0.997927,-0.406352
0.0104, 0.989607, -0.997886,0.410292,2.01039, 0.997886,-0.410294
0.0105, 0.989507, -0.997845,0.414231,2.01049, 0.997845,-0.41423
0.0106, 0.989408, -0.997804,0.418173,2.01059, 0.997804,-0.418174
0.0107, 0.989308, -0.997762,0.422109,2.01069, 0.997762,-0.422108
0.0108, 0.989208, -0.99772,0.426051,2.01079, 0.99772,-0.426052
0.0109, 0.989108, -0.997677,0.429987,2.01089, 0.997677,-0.429986
0.011, 0.989009, -0.997634,0.433927,2.01099, 0.997634,-0.433928
0.0111, 0.988909, -0.997591,0.437864,2.01109, 0.997591,-0.437864
0.0112, 0.988809, -0.997547,0.441802,2.01119, 0.997547,-0.4418
0.0113, 0.988709, -0.997503,0.445742,2.01129, 0.997503,-0.445742
0.0114, 0.988609, -0.997458,0.449678,2.01139, 0.997458,-0.449677
0.0115, 0.98851, -0.997413,0.453618,2.01149, 0.997413,-0.453619
0.0116, 0.98841, -0.997368,0.457555,2.01159, 0.997368,-0.457555
0.0117, 0.98831, -0.997322,0.46149,2.01169, 0.997322,-0.461489
0.0118, 0.988211, -0.997276,0.46543,2.01179, 0.997276,-0.465432
0.0119, 0.988111, -0.997229,0.469368,2.01189, 0.997229,-0.469368
0.012, 0.988011, -0.997183,0.473303,2.01199, 0.997183,-0.473302
0.0121, 0.987911, -0.997135,0.477239,2.01209, 0.997135,-0.477238
0.0122, 0.987812, -0.997087,0.481179,2.01219, 0.997087,-0.48118
0.0123, 0.987712, -0.997039,0.485114,2.01229, 0.997039,-0.485114
0.0124, 0.987612, -0.996991,0.489049,2.01239, 0.996991,-0.489049
0.0125, 0.987513, -0.996942,0.492984,2.01249, 0.996942,-0.492983
0.0126, 0.987413, -0.996893,0.496918,2.01259, 0.996893,-0.496918
0.0127, 0.987313, -0.996843,0.500855,2.01269, 0.996843,-0.500854
0.0128, 0.987213, -0.996793,0.504793,2.01279, 0.996793,-0.504794
0.0129, 0.987114, -0.996742,0.508729,2.01289, 0.996742,-0.50873
0.013, 0.987014, -0.996692,0.512664,2.01299, 0.996692,-0.512665
0.0131, 0.986914, -0.99664,0.516598,2.01309, 0.99664,-0.516599
0.0132, 0.986815, -0.996589,0.520532,2.01319, 0.996589,-0.520533
0.0133, 0.986715, -0.996537,0.524467,2.01328, 0.996537,-0.524468
0.0134, 0.986615, -0.996484,0.528401,2.01338, 0.996484,-0.528402
0.0135, 0.986516, -0.996431,0.532336,2.01348, 0.996431,-0.532336
0.0136, 0.986416, -0.996378,0.53627,2.01358, 0.996378,-0.536271
0.0137, 0.986317, -0.996324,0.540202,2.01368, 0.996324,-0.540204
0.0138, 0.986217, -0.99627,0.544133,2.01378, 0.99627,-0.544132
0.0139, 0.986117, -0.996216,0.548065,2.01388, 0.996216,-0.548065
0.014, 0.986018, -0.996161,0.552,2.01398, 0.996161,-0.551999
0.0141, 0.985918, -0.996106,0.555933,2.01408, 0.996106,-0.555933
0.0142, 0.985818, -0.99605,0.559867,2.01418, 0.99605,-0.559868
0.0143, 0.985719, -0.995994,0.563799,2.01428, 0.995994,-0.5638
