No iterations: 20
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.1, 0.9, -1,3.94784,2.1, 1,-3.94784
0.2, 0.8, -0.605216,7.89568,2.2, 0.605216,-7.89569
0.3, 0.739478, 0.184353,10.285,2.26052, -0.184353,-10.285
0.4, 0.757914, 1.21285,9.55719,2.24209, -1.21285,-9.55719
0.5, 0.879199, 2.16857,4.76904,2.1208, -2.16857,-4.76904
0.6, 1.09606, 2.64547,-3.79213,1.90394, -2.64547,3.79213
0.7, 1.3606, 2.26626,-14.236,1.6394, -2.26626,14.236
0.8, 1.58723, 0.842657,-23.1829,1.41277, -0.842657,23.1829
0.9, 1.67149, -1.47563,-26.5096,1.32851, 1.47563,26.5096
1, 1.52393, -4.12659,-20.684,1.47607, 4.12659,20.684
1.1, 1.11127, -6.19499,-4.39288,1.88873, 6.19499,4.39288
1.2, 0.491774, -6.63427,20.0639,2.50823, 6.63427,-20.0639
1.3, -0.171653, -4.62788,46.255,3.17165, 4.62788,-46.255
1.4, -0.634441, -0.00237964,64.5251,3.63444, 0.0023795,-64.5251
1.5, -0.634679, 6.45014,64.5345,3.63468, -6.45014,-64.5345
1.6, 0.0103345, 12.9036,39.0704,2.98967, -12.9036,-39.0704
1.7, 1.30069, 16.8106,-11.8709,1.69931, -16.8106,11.8709
1.8, 2.98176, 15.6235,-78.2366,0.0182432, -15.6235,78.2366
1.9, 4.54411, 7.79988,-139.916,-1.54411, -7.79988,139.916
2, 5.3241, -6.19171,-170.709,-2.3241, 6.19171,170.709
