No iterations: 40
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.05, 0.95, -1,1.97392,2.05, 1,-1.97392
0.1, 0.9, -0.901304,3.94784,2.1, 0.901304,-3.94784
0.15, 0.854935, -0.703912,5.72695,2.14507, 0.703912,-5.72695
0.2, 0.819739, -0.417565,7.11641,2.18026, 0.417565,-7.11641
0.25, 0.798861, -0.061744,7.94065,2.20114, 0.061744,-7.94065
0.3, 0.795774, 0.335288,8.06253,2.20423, -0.335288,-8.06253
0.35, 0.812538, 0.738415,7.4007,2.18746, -0.738415,-7.4007
0.4, 0.849459, 1.10845,5.94312,2.15054, -1.10845,-5.94312
0.45, 0.904881, 1.40561,3.75513,2.09512, -1.40561,-3.75513
0.5, 0.975162, 1.59336,0.980574,2.02484, -1.59336,-0.980573
0.55, 1.05483, 1.64239,-2.1646,1.94517, -1.64239,2.1646
0.6, 1.13695, 1.53416,-5.40655,1.86305, -1.53416,5.40655
0.65, 1.21366, 1.26383,-8.43486,1.78634, -1.26383,8.43486
0.7, 1.27685, 0.842091,-10.9296,1.72315, -0.842091,10.9296
0.75, 1.31895, 0.295613,-12.5918,1.68105, -0.295613,12.5918
0.8, 1.33373, -0.333977,-13.1753,1.66627, 0.333977,13.1753
0.85, 1.31704, -0.992742,-12.5161,1.68296, 0.992742,12.5161
0.9, 1.2674, -1.61854,-10.5565,1.7326, 1.61854,10.5565
0.95, 1.18647, -2.14637,-7.36159,1.81353, 2.14637,7.36159
1, 1.07915, -2.51445,-3.12482,1.92085, 2.51445,3.12482
1.05, 0.95343, -2.67069,1.83849,2.04657, 2.67069,-1.83849
1.1, 0.819896, -2.57876,7.11022,2.1801, 2.57876,-7.11022
1.15, 0.690958, -2.22325,12.2005,2.30904, 2.22325,-12.2005
1.2, 0.579795, -1.61323,16.589,2.4202, 1.61323,-16.589
1.25, 0.499134, -0.783777,19.7734,2.50087, 0.783777,-19.7734
1.3, 0.459945, 0.204894,21.3205,2.54006, -0.204894,-21.3205
1.35, 0.470189, 1.27092,20.9161,2.52981, -1.27092,-20.9161
1.4, 0.533735, 2.31672,18.4074,2.46626, -2.31672,-18.4074
1.45, 0.649572, 3.23709,13.8344,2.35043, -3.23709,-13.8344
1.5, 0.811426, 3.92881,7.44459,2.18857, -3.92881,-7.44459
1.55, 1.00787, 4.30104,-0.310573,1.99213, -4.30104,0.310574
1.6, 1.22292, 4.28551,-8.80049,1.77708, -4.28551,8.80049
1.65, 1.43719, 3.84549,-17.2597,1.56281, -3.84549,17.2597
1.7, 1.62947, 2.9825,-24.8504,1.37053, -2.9825,24.8504
1.75, 1.77859, 1.73998,-30.7377,1.22141, -1.73998,30.7377
1.8, 1.86559, 0.203096,-34.1722,1.13441, -0.203095,34.1722
1.85, 1.87575, -1.50552,-34.5731,1.12425, 1.50552,34.5731
1.9, 1.80047, -3.23417,-31.6014,1.19953, 3.23417,31.6014
1.95, 1.63876, -4.81424,-25.2174,1.36124, 4.81424,25.2174
2, 1.39805, -6.07511,-15.7144,1.60195, 6.07511,15.7144
