No iterations: 3999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.0005, 0.9995, -1,0.0197386,2.0005, 1,-0.0197378
0.001, 0.999, -0.99999,0.0394763,2.001, 0.99999,-0.0394756
0.0015, 0.9985, -0.99997,0.0592165,2.0015, 0.99997,-0.0592149
0.002, 0.998, -0.999941,0.0789574,2.002, 0.999941,-0.078959
0.0025, 0.9975, -0.999901,0.0986952,2.0025, 0.999901,-0.0986967
0.003, 0.997, -0.999852,0.11843,2.003, 0.999852,-0.118428
0.0035, 0.9965, -0.999793,0.138165,2.0035, 0.999793,-0.138164
0.004, 0.996, -0.999724,0.157902,2.004, 0.999724,-0.157902
0.0045, 0.9955, -0.999645,0.177639,2.0045, 0.999645,-0.17764
0.005, 0.995001, -0.999556,0.197368,2.005, 0.999556,-0.197368
0.0055, 0.994501, -0.999457,0.217098,2.0055, 0.999457,-0.217097
0.006, 0.994001, -0.999349,0.236826,2.006, 0.999349,-0.236825
0.0065, 0.993501, -0.99923,0.256553,2.0065, 0.99923,-0.256553
0.007, 0.993002, -0.999102,0.276279,2.007, 0.999102,-0.27628
0.0075, 0.992502, -0.998964,0.296,2.0075, 0.998964,-0.296001
0.008, 0.992003, -0.998816,0.315719,2.008, 0.998816,-0.31572
0.0085, 0.991503, -0.998658,0.335436,2.0085, 0.998658,-0.335437
0.009, 0.991004, -0.99849,0.355147,2.009, 0.99849,-0.355148
0.0095, 0.990505, -0.998313,0.374857,2.0095, 0.998313,-0.374858
0.01, 0.990006, -0.998125,0.394561,2.00999, 0.998125,-0.394559
0.0105, 0.989507, -0.997928,0.414267,2.01049, 0.997928,-0.414267
0.011, 0.989008, -0.997721,0.433961,2.01099, 0.997721,-0.43396
0.0115, 0.988509, -0.997504,0.453658,2.01149, 0.997504,-0.453658
0.012, 0.98801, -0.997277,0.473348,2.01199, 0.997277,-0.473349
0.0125, 0.987511, -0.99704,0.493031,2.01249, 0.99704,-0.49303
0.013, 0.987013, -0.996794,0.512712,2.01299, 0.996794,-0.512712
0.0135, 0.986514, -0.996537,0.53239,2.01349, 0.996537,-0.532391
0.014, 0.986016, -0.996271,0.552059,2.01398, 0.996271,-0.552057
0.0145, 0.985518, -0.995995,0.571727,2.01448, 0.995995,-0.571727
0.015, 0.98502, -0.995709,0.591387,2.01498, 0.995709,-0.591388
0.0155, 0.984522, -0.995414,0.611042,2.01548, 0.995414,-0.611043
0.016, 0.984024, -0.995108,0.630687,2.01598, 0.995108,-0.630687
0.0165, 0.983527, -0.994793,0.650331,2.01647, 0.994793,-0.65033
0.017, 0.98303, -0.994468,0.669965,2.01697, 0.994468,-0.669964
0.0175, 0.982532, -0.994133,0.689599,2.01747, 0.994133,-0.689599
0.018, 0.982035, -0.993788,0.709223,2.01796, 0.993788,-0.709223
0.0185, 0.981538, -0.993433,0.728839,2.01846, 0.993433,-0.728839
0.019, 0.981042, -0.993069,0.748446,2.01896, 0.993069,-0.748445
0.0195, 0.980545, -0.992695,0.768051,2.01945, 0.992695,-0.768051
0.02, 0.980049, -0.992311,0.787647,2.01995, 0.992311,-0.787647
0.0205, 0.979553, -0.991917,0.807234,2.02045, 0.991917,-0.807235
0.021, 0.979057, -0.991513,0.826812,2.02094, 0.991513,-0.826812
0.0215, 0.978561, -0.9911,0.846382,2.02144, 0.9911,-0.846381
0.022, 0.978065, -0.990677,0.865948,2.02193, 0.990677,-0.865949
0.0225, 0.97757, -0.990244,0.885502,2.02243, 0.990244,-0.8855
0.023, 0.977075, -0.989801,0.905048,2.02293, 0.989801,-0.905048
0.0235, 0.97658, -0.989348,0.924587,2.02342, 0.989348,-0.924588
0.024, 0.976085, -0.988886,0.944118,2.02391, 0.988886,-0.944119
0.0245, 0.975591, -0.988414,0.963637,2.02441, 0.988414,-0.963639
0.025, 0.975097, -0.987932,0.983144,2.0249, 0.987932,-0.983143
0.0255, 0.974603, -0.987441,1.00265,2.0254, 0.987441,-1.00265
0.026, 0.974109, -0.986939,1.02214,2.02589, 0.986939,-1.02214
0.0265, 0.973615, -0.986428,1.04162,2.02638, 0.986428,-1.04162
0.027, 0.973122, -0.985907,1.06109,2.02688, 0.985907,-1.06109
0.0275, 0.972629, -0.985377,1.08055,2.02737, 0.985377,-1.08055
0.028, 0.972137, -0.984837,1.1,2.02786, 0.984837,-1.10001
0.0285, 0.971644, -0.984287,1.11944,2.02836, 0.984287,-1.11944
0.029, 0.971152, -0.983727,1.13887,2.02885, 0.983727,-1.13887
0.0295, 0.97066, -0.983157,1.15829,2.02934, 0.983157,-1.15829
0.03, 0.970169, -0.982578,1.1777,2.02983, 0.982578,-1.1777
0.0305, 0.969677, -0.981989,1.19709,2.03032, 0.981989,-1.19709
0.031, 0.969186, -0.981391,1.21648,2.03081, 0.981391,-1.21648
0.0315, 0.968696, -0.980783,1.23585,2.0313, 0.980783,-1.23585
0.032, 0.968205, -0.980165,1.25521,2.03179, 0.980165,-1.25521
0.0325, 0.967715, -0.979537,1.27455,2.03228, 0.979537,-1.27455
0.033, 0.967225, -0.9789,1.29389,2.03277, 0.9789,-1.29389
0.0335, 0.966736, -0.978253,1.31321,2.03326, 0.978253,-1.31321
0.034, 0.966247, -0.977596,1.33252,2.03375, 0.977596,-1.33252
0.0345, 0.965758, -0.97693,1.35182,2.03424, 0.97693,-1.35182
0.035, 0.96527, -0.976254,1.3711,2.03473, 0.976254,-1.3711
0.0355, 0.964781, -0.975569,1.39037,2.03522, 0.975569,-1.39037
0.036, 0.964294, -0.974873,1.40963,2.03571, 0.974873,-1.40963
0.0365, 0.963806, -0.974169,1.42888,2.03619, 0.974169,-1.42888
0.037, 0.963319, -0.973454,1.4481,2.03668, 0.973454,-1.44811
0.0375, 0.962832, -0.97273,1.46732,2.03717, 0.97273,-1.46732
0.038, 0.962346, -0.971996,1.48652,2.03765, 0.971996,-1.48652
0.0385, 0.96186, -0.971253,1.50571,2.03814, 0.971253,-1.50571
0.039, 0.961374, -0.9705,1.52488,2.03863, 0.9705,-1.52488
0.0395, 0.960889, -0.969738,1.54404,2.03911, 0.969738,-1.54404
0.04, 0.960404, -0.968966,1.56318,2.0396, 0.968966,-1.56318
0.0405, 0.95992, -0.968184,1.5823,2.04008, 0.968184,-1.58231
0.041, 0.959436, -0.967393,1.60141,2.04056, 0.967393,-1.60141
0.0415, 0.958952, -0.966592,1.62051,2.04105, 0.966592,-1.62051
0.042, 0.958469, -0.965782,1.63959,2.04153, 0.965782,-1.63959
0.0425, 0.957986, -0.964962,1.65865,2.04201, 0.964962,-1.65865
0.043, 0.957503, -0.964133,1.6777,2.0425, 0.964133,-1.6777
0.0435, 0.957021, -0.963294,1.69673,2.04298, 0.963294,-1.69673
0.044, 0.95654, -0.962446,1.71575,2.04346, 0.962446,-1.71575
0.0445, 0.956058, -0.961588,1.73474,2.04394, 0.961588,-1.73474
0.045, 0.955578, -0.960721,1.75373,2.04442, 0.960721,-1.75373
0.0455, 0.955097, -0.959844,1.77269,2.0449, 0.959844,-1.77269
0.046, 0.954617, -0.958957,1.79164,2.04538, 0.958957,-1.79164
0.0465, 0.954138, -0.958062,1.81057,2.04586, 0.958061,-1.81057
0.047, 0.953659, -0.957156,1.82948,2.04634, 0.957156,-1.82948
0.0475, 0.95318, -0.956241,1.84837,2.04682, 0.956241,-1.84837
0.048, 0.952702, -0.955317,1.86725,2.0473, 0.955317,-1.86725
0.0485, 0.952224, -0.954384,1.8861,2.04778, 0.954384,-1.8861
0.049, 0.951747, -0.953441,1.90494,2.04825, 0.953441,-1.90495
0.0495, 0.951271, -0.952488,1.92376,2.04873, 0.952488,-1.92376
0.05, 0.950794, -0.951526,1.94257,2.04921, 0.951526,-1.94257
0.0505, 0.950319, -0.950555,1.96134,2.04968, 0.950555,-1.96134
0.051, 0.949843, -0.949574,1.98011,2.05016, 0.949574,-1.98011
0.0515, 0.949368, -0.948584,1.99885,2.05063, 0.948584,-1.99885
0.052, 0.948894, -0.947585,2.01757,2.05111, 0.947585,-2.01757
0.0525, 0.94842, -0.946576,2.03628,2.05158, 0.946576,-2.03628
0.053, 0.947947, -0.945558,2.05497,2.05205, 0.945558,-2.05497
0.0535, 0.947474, -0.94453,2.07363,2.05253, 0.94453,-2.07363
0.054, 0.947002, -0.943494,2.09228,2.053, 0.943494,-2.09228
0.0545, 0.94653, -0.942447,2.1109,2.05347, 0.942447,-2.1109
0.055, 0.946059, -0.941392,2.1295,2.05394, 0.941392,-2.1295
0.0555, 0.945588, -0.940327,2.14809,2.05441, 0.940327,-2.14809
0.056, 0.945118, -0.939253,2.16665,2.05488, 0.939253,-2.16665
0.0565, 0.944649, -0.93817,2.18519,2.05535, 0.93817,-2.18519
0.057, 0.94418, -0.937077,2.2037,2.05582, 0.937077,-2.2037
0.0575, 0.943711, -0.935975,2.2222,2.05629, 0.935975,-2.2222
0.058, 0.943243, -0.934864,2.24068,2.05676, 0.934864,-2.24068
0.0585, 0.942776, -0.933744,2.25913,2.05722, 0.933744,-2.25913
0.059, 0.942309, -0.932614,2.27756,2.05769, 0.932614,-2.27756
0.0595, 0.941842, -0.931476,2.29597,2.05816, 0.931476,-2.29597
0.06, 0.941377, -0.930328,2.31436,2.05862, 0.930328,-2.31436
0.0605, 0.940911, -0.929171,2.33272,2.05909, 0.92917,-2.33272
0.061, 0.940447, -0.928004,2.35106,2.05955, 0.928004,-2.35106
0.0615, 0.939983, -0.926829,2.36938,2.06002, 0.926829,-2.36938
0.062, 0.939519, -0.925644,2.38768,2.06048, 0.925644,-2.38768
