Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2)Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.765, 3.92762, 2.6663,-0.641432,6.34174, -0.592605,0.987396
0.766, 3.93029, 2.66566,-0.645431,6.34114, -0.591617,0.988285
0.767, 3.93295, 2.66502,-0.64943,6.34055, -0.590629,0.989173
0.768, 3.93562, 2.66437,-0.653427,6.33996, -0.58964,0.990058
0.769, 3.93828, 2.66371,-0.657424,6.33937, -0.58865,0.990943
0.77, 3.94095, 2.66306,-0.66142,6.33878, -0.587659,0.991826
0.771, 3.94361, 2.6624,-0.665414,6.33819, -0.586667,0.992708
0.772, 3.94627, 2.66173,-0.669407,6.33761, -0.585674,0.993587
0.773, 3.94893, 2.66106,-0.6734,6.33702, -0.584681,0.994466
0.774, 3.95159, 2.66039,-0.677392,6.33644, -0.583686,0.995343
0.775, 3.95425, 2.65971,-0.681382,6.33585, -0.582691,0.996219
0.776, 3.95691, 2.65903,-0.685372,6.33527, -0.581695,0.997093
0.777, 3.95957, 2.65834,-0.68936,6.33469, -0.580698,0.997965
0.778, 3.96223, 2.65765,-0.693348,6.33411, -0.5797,0.998836
0.779, 3.96489, 2.65696,-0.697334,6.33353, -0.578701,0.999706
0.78, 3.96755, 2.65626,-0.70132,6.33295, -0.577701,1.00057
0.781, 3.9702, 2.65556,-0.705304,6.33237, -0.576701,1.00144
0.782, 3.97286, 2.65486,-0.709288,6.3318, -0.575699,1.00231
0.783, 3.97551, 2.65415,-0.71327,6.33122, -0.574697,1.00317
0.784, 3.97817, 2.65343,-0.717251,6.33065, -0.573694,1.00403
0.785, 3.98082, 2.65272,-0.721231,6.33007, -0.57269,1.00489
0.786, 3.98347, 2.652,-0.72521,6.3295, -0.571685,1.00575
0.787, 3.98613, 2.65127,-0.729188,6.32893, -0.570679,1.00661
0.788, 3.98878, 2.65054,-0.733165,6.32836, -0.569672,1.00746
0.789, 3.99143, 2.64981,-0.737141,6.32779, -0.568665,1.00832
0.79, 3.99408, 2.64907,-0.741116,6.32722, -0.567657,1.00917
0.791, 3.99673, 2.64833,-0.745089,6.32665, -0.566648,1.01002
0.792, 3.99937, 2.64758,-0.749062,6.32608, -0.565637,1.01087
0.793, 4.00202, 2.64684,-0.753033,6.32552, -0.564627,1.01172
0.794, 4.00467, 2.64608,-0.757004,6.32495, -0.563615,1.01257
0.795, 4.00732, 2.64533,-0.760973,6.32439, -0.562602,1.01341
0.796, 4.00996, 2.64456,-0.76494,6.32383, -0.561589,1.01426
0.797, 4.0126, 2.6438,-0.768908,6.32327, -0.560575,1.0151
0.798, 4.01525, 2.64303,-0.772873,6.32271, -0.55956,1.01594
0.799, 4.01789, 2.64226,-0.776838,6.32215, -0.558544,1.01678
0.8, 4.02053, 2.64148,-0.780801,6.32159, -0.557527,1.01762
0.801, 4.02318, 2.6407,-0.784764,6.32103, -0.556509,1.01845
0.802, 4.02582, 2.63992,-0.788725,6.32047, -0.555491,1.01929
0.803, 4.02846, 2.63913,-0.792684,6.31992, -0.554471,1.02012
0.804, 4.0311, 2.63833,-0.796643,6.31936, -0.553451,1.02095
0.805, 4.03373, 2.63754,-0.800601,6.31881, -0.55243,1.02178
0.806, 4.03637, 2.63674,-0.804557,6.31826, -0.551409,1.02261
0.807, 4.03901, 2.63593,-0.808511,6.31771, -0.550386,1.02344
0.808, 4.04164, 2.63512,-0.812465,6.31716, -0.549363,1.02427
0.809, 4.04428, 2.63431,-0.816419,6.31661, -0.548338,1.02509
0.81, 4.04691, 2.63349,-0.82037,6.31606, -0.547313,1.02591
0.811, 4.04955, 2.63267,-0.82432,6.31551, -0.546287,1.02673
0.812, 4.05218, 2.63185,-0.828269,6.31496, -0.545261,1.02755
0.813, 4.05481, 2.63102,-0.832217,6.31442, -0.544233,1.02837
0.814, 4.05744, 2.63019,-0.836163,6.31388, -0.543205,1.02919
0.815, 4.06007, 2.62935,-0.840109,6.31333, -0.542175,1.03
0.816, 4.0627, 2.62851,-0.844053,6.31279, -0.541145,1.03082
0.817, 4.06533, 2.62767,-0.847996,6.31225, -0.540115,1.03163
0.818, 4.06796, 2.62682,-0.851937,6.31171, -0.539083,1.03244
0.819, 4.07058, 2.62597,-0.855877,6.31117, -0.538051,1.03325
0.82, 4.07321, 2.62511,-0.859816,6.31063, -0.537017,1.03405
0.821, 4.07584, 2.62425,-0.863754,6.31009, -0.535983,1.03486
0.822, 4.07846, 2.62339,-0.86769,6.30956, -0.534948,1.03566
0.823, 4.08108, 2.62252,-0.871626,6.30902, -0.533913,1.03646
0.824, 4.08371, 2.62165,-0.875559,6.30849, -0.532876,1.03727
0.825, 4.08633, 2.62078,-0.879491,6.30796, -0.531839,1.03806
0.826, 4.08895, 2.6199,-0.883423,6.30743, -0.530801,1.03886
0.827, 4.09157, 2.61901,-0.887353,6.30689, -0.529762,1.03966
0.828, 4.09419, 2.61812,-0.891281,6.30636, -0.528722,1.04045
0.829, 4.09681, 2.61723,-0.895208,6.30584, -0.527682,1.04125
0.83, 4.09942, 2.61634,-0.899134,6.30531, -0.526641,1.04204
0.831, 4.10204, 2.61544,-0.903059,6.30478, -0.525599,1.04283
0.832, 4.10465, 2.61454,-0.906982,6.30426, -0.524556,1.04362
0.833, 4.10727, 2.61363,-0.910904,6.30373, -0.523512,1.0444
0.834, 4.10988, 2.61272,-0.914824,6.30321, -0.522468,1.04519
0.835, 4.1125, 2.6118,-0.918743,6.30269, -0.521423,1.04597
0.836, 4.11511, 2.61088,-0.922661,6.30216, -0.520377,1.04675
0.837, 4.11772, 2.60996,-0.926577,6.30164, -0.51933,1.04753
0.838, 4.12033, 2.60904,-0.930492,6.30112, -0.518282,1.04831
0.839, 4.12294, 2.6081,-0.934406,6.30061, -0.517234,1.04909
0.84, 4.12555, 2.60717,-0.938318,6.30009, -0.516185,1.04987
0.841, 4.12815, 2.60623,-0.942229,6.29957, -0.515135,1.05064
0.842, 4.13076, 2.60529,-0.946138,6.29906, -0.514084,1.05141
0.843, 4.13336, 2.60434,-0.950046,6.29854, -0.513033,1.05218
0.844, 4.13597, 2.60339,-0.953952,6.29803, -0.511981,1.05295
0.845, 4.13857, 2.60244,-0.957858,6.29752, -0.510928,1.05372
0.846, 4.14117, 2.60148,-0.961761,6.29701, -0.509874,1.05449
0.847, 4.14378, 2.60052,-0.965663,6.2965, -0.50882,1.05525
0.848, 4.14638, 2.59955,-0.969564,6.29599, -0.507764,1.05602
0.849, 4.14898, 2.59858,-0.973464,6.29548, -0.506708,1.05678
0.85, 4.15157, 2.59761,-0.977361,6.29497, -0.505652,1.05754
0.851, 4.15417, 2.59663,-0.981258,6.29447, -0.504594,1.0583
0.852, 4.15677, 2.59565,-0.985152,6.29396, -0.503536,1.05905
0.853, 4.15936, 2.59467,-0.989046,6.29346, -0.502477,1.05981
0.854, 4.16196, 2.59368,-0.992938,6.29296, -0.501417,1.06056
0.855, 4.16455, 2.59269,-0.996829,6.29246, -0.500356,1.06132
0.856, 4.16715, 2.59169,-1.00072,6.29196, -0.499295,1.06207
0.857, 4.16974, 2.59069,-1.00461,6.29146, -0.498233,1.06281
0.858, 4.17233, 2.58968,-1.00849,6.29096, -0.49717,1.06356
0.859, 4.17492, 2.58868,-1.01238,6.29046, -0.496107,1.06431
0.86, 4.17751, 2.58766,-1.01626,6.28997, -0.495042,1.06505
0.861, 4.18009, 2.58665,-1.02014,6.28947, -0.493977,1.06579
0.862, 4.18268, 2.58563,-1.02402,6.28898, -0.492911,1.06654
0.863, 4.18527, 2.5846,-1.0279,6.28848, -0.491845,1.06728
0.864, 4.18785, 2.58357,-1.03178,6.28799, -0.490778,1.06801
0.865, 4.19043, 2.58254,-1.03565,6.2875, -0.48971,1.06875
0.866, 4.19302, 2.58151,-1.03952,6.28701, -0.488641,1.06948
0.867, 4.1956, 2.58047,-1.0434,6.28652, -0.487571,1.07022
0.868, 4.19818, 2.57942,-1.04727,6.28603, -0.486501,1.07095
0.869, 4.20076, 2.57838,-1.05114,6.28555, -0.48543,1.07168
0.87, 4.20334, 2.57733,-1.055,6.28506, -0.484359,1.07241
0.871, 4.20591, 2.57627,-1.05887,6.28458, -0.483286,1.07313
0.872, 4.20849, 2.57521,-1.06273,6.2841, -0.482213,1.07386
0.873, 4.21107, 2.57415,-1.0666,6.28361, -0.481139,1.07458
0.874, 4.21364, 2.57308,-1.07046,6.28313, -0.480065,1.0753
0.875, 4.21621, 2.57201,-1.07432,6.28265, -0.478989,1.07602
0.876, 4.21878, 2.57094,-1.07818,6.28217, -0.477913,1.07674
0.877, 4.22136, 2.56986,-1.08203,6.28169, -0.476837,1.07746
0.878, 4.22393, 2.56878,-1.08589,6.28122, -0.475759,1.07817
0.879, 4.22649, 2.56769,-1.08974,6.28074, -0.474681,1.07889
0.88, 4.22906, 2.5666,-1.09359,6.28027, -0.473602,1.0796
0.881, 4.23163, 2.56551,-1.09744,6.27979, -0.472522,1.08031
0.882, 4.23419, 2.56441,-1.10129,6.27932, -0.471442,1.08102
0.883, 4.23676, 2.56331,-1.10514,6.27885, -0.470361,1.08172
0.884, 4.23932, 2.5622,-1.10898,6.27838, -0.469279,1.08243
0.885, 4.24188, 2.5611,-1.11283,6.27791, -0.468197,1.08313
0.886, 4.24444, 2.55998,-1.11667,6.27744, -0.467114,1.08384
0.887, 4.247, 2.55887,-1.12051,6.27698, -0.46603,1.08454
0.888, 4.24956, 2.55775,-1.12435,6.27651, -0.464945,1.08524
0.889, 4.25212, 2.55662,-1.12818,6.27604, -0.46386,1.08593
0.89, 4.25468, 2.55549,-1.13202,6.27558, -0.462774,1.08663
0.891, 4.25723, 2.55436,-1.13585,6.27512, -0.461688,1.08732
0.892, 4.25979, 2.55323,-1.13968,6.27466, -0.4606,1.08802
0.893, 4.26234, 2.55209,-1.14351,6.2742, -0.459512,1.08871
0.894, 4.26489, 2.55094,-1.14734,6.27374, -0.458424,1.0894
0.895, 4.26744, 2.54979,-1.15117,6.27328, -0.457334,1.09008
0.896, 4.26999, 2.54864,-1.15499,6.27282, -0.456244,1.09077
0.897, 4.27254, 2.54749,-1.15881,6.27236, -0.455153,1.09145
0.898, 4.27509, 2.54633,-1.16264,6.27191, -0.454062,1.09214
0.899, 4.27764, 2.54517,-1.16645,6.27145, -0.45297,1.09282
0.9, 4.28018, 2.544,-1.17027,6.271, -0.451877,1.0935
0.901, 4.28273, 2.54283,-1.17409,6.27055, -0.450783,1.09418
0.902, 4.28527, 2.54166,-1.1779,6.2701, -0.449689,1.09485
0.903, 4.28781, 2.54048,-1.18171,6.26965, -0.448594,1.09553
0.904, 4.29035, 2.5393,-1.18553,6.2692, -0.447499,1.0962
0.905, 4.29289, 2.53811,-1.18933,6.26875, -0.446403,1.09687
0.906, 4.29543, 2.53692,-1.19314,6.26831, -0.445306,1.09754
0.907, 4.29796, 2.53573,-1.19695,6.26786, -0.444208,1.09821
0.908, 4.3005, 2.53453,-1.20075,6.26742, -0.44311,1.09887
0.909, 4.30304, 2.53333,-1.20455,6.26697, -0.442011,1.09954
0.91, 4.30557, 2.53213,-1.20835,6.26653, -0.440912,1.1002
0.911, 4.3081, 2.53092,-1.21215,6.26609, -0.439811,1.10086
0.912, 4.31063, 2.52971,-1.21595,6.26565, -0.438711,1.10152
0.913, 4.31316, 2.52849,-1.21974,6.26521, -0.437609,1.10218
0.914, 4.31569, 2.52727,-1.22353,6.26478, -0.436507,1.10284
0.915, 4.31822, 2.52605,-1.22733,6.26434, -0.435404,1.10349
0.916, 4.32074, 2.52482,-1.23111,6.2639, -0.434301,1.10415
0.917, 4.32327, 2.52359,-1.2349,6.26347, -0.433196,1.1048
0.918, 4.32579, 2.52235,-1.23869,6.26304, -0.432092,1.10545
0.919, 4.32831, 2.52111,-1.24247,6.2626, -0.430986,1.1061
0.92, 4.33083, 2.51987,-1.24625,6.26217, -0.42988,1.10674
0.921, 4.33335, 2.51863,-1.25003,6.26174, -0.428773,1.10739
0.922, 4.33587, 2.51738,-1.25381,6.26131, -0.427666,1.10803
0.923, 4.33839, 2.51612,-1.25759,6.26089, -0.426558,1.10867
0.924, 4.34091, 2.51486,-1.26136,6.26046, -0.425449,1.10931
0.925, 4.34342, 2.5136,-1.26513,6.26003, -0.42434,1.10995
0.926, 4.34594, 2.51234,-1.2689,6.25961, -0.42323,1.11059
0.927, 4.34845, 2.51107,-1.27267,6.25919, -0.422119,1.11122
0.928, 4.35096, 2.5098,-1.27644,6.25876, -0.421008,1.11185
0.929, 4.35347, 2.50852,-1.2802,6.25834, -0.419896,1.11248
0.93, 4.35598, 2.50724,-1.28397,6.25792, -0.418784,1.11311
0.931, 4.35848, 2.50596,-1.28773,6.2575, -0.417671,1.11374
0.932, 4.36099, 2.50467,-1.29149,6.25709, -0.416557,1.11437
0.933, 4.36349, 2.50338,-1.29524,6.25667, -0.415443,1.11499
0.934, 4.366, 2.50208,-1.299,6.25626, -0.414328,1.11562
0.935, 4.3685, 2.50078,-1.30275,6.25584, -0.413212,1.11624
0.936, 4.371, 2.49948,-1.3065,6.25543, -0.412096,1.11686
0.937, 4.3735, 2.49817,-1.31025,6.25502, -0.410979,1.11748
0.938, 4.376, 2.49686,-1.314,6.2546, -0.409861,1.11809
0.939, 4.3785, 2.49555,-1.31774,6.25419, -0.408743,1.11871
0.94, 4.38099, 2.49423,-1.32149,6.25379, -0.407625,1.11932
0.941, 4.38349, 2.49291,-1.32523,6.25338, -0.406505,1.11993
0.942, 4.38598, 2.49158,-1.32897,6.25297, -0.405385,1.12054
0.943, 4.38847, 2.49026,-1.33271,6.25257, -0.404265,1.12115
0.944, 4.39096, 2.48892,-1.33644,6.25216, -0.403144,1.12176
0.945, 4.39345, 2.48759,-1.34017,6.25176, -0.402022,1.12236
0.946, 4.39594, 2.48625,-1.3439,6.25136, -0.4009,1.12296
0.947, 4.39842, 2.4849,-1.34763,6.25096, -0.399777,1.12357
0.948, 4.40091, 2.48355,-1.35136,6.25056, -0.398653,1.12417
0.949, 4.40339, 2.4822,-1.35509,6.25016, -0.397529,1.12476
0.95, 4.40587, 2.48085,-1.35881,6.24976, -0.396404,1.12536
0.951, 4.40835, 2.47949,-1.36253,6.24936, -0.395279,1.12595
0.952, 4.41083, 2.47813,-1.36625,6.24897, -0.394153,1.12655
0.953, 4.41331, 2.47676,-1.36997,6.24857, -0.393026,1.12714
0.954, 4.41579, 2.47539,-1.37368,6.24818, -0.391899,1.12773
0.955, 4.41826, 2.47402,-1.3774,6.24779, -0.390771,1.12832
0.956, 4.42074, 2.47264,-1.38111,6.2474, -0.389643,1.1289
0.957, 4.42321, 2.47126,-1.38482,6.24701, -0.388514,1.12949
0.958, 4.42568, 2.46987,-1.38852,6.24662, -0.387385,1.13007
0.959, 4.42815, 2.46848,-1.39223,6.24623, -0.386255,1.13065
0.96, 4.43062, 2.46709,-1.39593,6.24585, -0.385124,1.13123
0.961, 4.43309, 2.4657,-1.39963,6.24546, -0.383993,1.13181
0.962, 4.43555, 2.4643,-1.40333,6.24508, -0.382861,1.13238
0.963, 4.43802, 2.46289,-1.40703,6.24469, -0.381729,1.13296
0.964, 4.44048, 2.46149,-1.41072,6.24431, -0.380596,1.13353
0.965, 4.44294, 2.46008,-1.41441,6.24393, -0.379462,1.1341
0.966, 4.4454, 2.45866,-1.4181,6.24355, -0.378328,1.13467
0.967, 4.44786, 2.45724,-1.42179,6.24317, -0.377193,1.13524
0.968, 4.45032, 2.45582,-1.42548,6.2428, -0.376058,1.1358
0.969, 4.45277, 2.4544,-1.42916,6.24242, -0.374922,1.13637
0.97, 4.45523, 2.45297,-1.43284,6.24205, -0.373786,1.13693
0.971, 4.45768, 2.45153,-1.43652,6.24167, -0.372649,1.13749
0.972, 4.46013, 2.4501,-1.4402,6.2413, -0.371511,1.13805
0.973, 4.46258, 2.44866,-1.44387,6.24093, -0.370373,1.13861
0.974, 4.46503, 2.44721,-1.44755,6.24056, -0.369235,1.13916
0.975, 4.46748, 2.44577,-1.45122,6.24019, -0.368096,1.13972
0.976, 4.46992, 2.44431,-1.45489,6.23982, -0.366956,1.14027
0.977, 4.47237, 2.44286,-1.45855,6.23945, -0.365816,1.14082
0.978, 4.47481, 2.4414,-1.46222,6.23909, -0.364675,1.14137
0.979, 4.47725, 2.43994,-1.46588,6.23872, -0.363533,1.14192
0.98, 4.47969, 2.43847,-1.46954,6.23836, -0.362392,1.14246
0.981, 4.48213, 2.437,-1.4732,6.238, -0.361249,1.143
0.982, 4.48457, 2.43553,-1.47685,6.23764, -0.360106,1.14355
0.983, 4.487, 2.43405,-1.48051,6.23728, -0.358963,1.14409
0.984, 4.48944, 2.43257,-1.48416,6.23692, -0.357818,1.14462
0.985, 4.49187, 2.43109,-1.48781,6.23656, -0.356674,1.14516
0.986, 4.4943, 2.4296,-1.49145,6.2362, -0.355529,1.1457
0.987, 4.49673, 2.42811,-1.4951,6.23585, -0.354383,1.14623
0.988, 4.49916, 2.42661,-1.49874,6.23549, -0.353237,1.14676
0.989, 4.50159, 2.42512,-1.50238,6.23514, -0.35209,1.14729
0.99, 4.50401, 2.42361,-1.50602,6.23479, -0.350943,1.14782
0.991, 4.50643, 2.42211,-1.50965,6.23444, -0.349795,1.14835
0.992, 4.50886, 2.4206,-1.51329,6.23409, -0.348647,1.14887
0.993, 4.51128, 2.41908,-1.51692,6.23374, -0.347498,1.14939
0.994, 4.5137, 2.41757,-1.52055,6.23339, -0.346348,1.14991
0.995, 4.51611, 2.41605,-1.52417,6.23304, -0.345198,1.15043
0.996, 4.51853, 2.41452,-1.52779,6.2327, -0.344048,1.15095
0.997, 4.52094, 2.413,-1.53142,6.23235, -0.342897,1.15147
0.998, 4.52336, 2.41146,-1.53504,6.23201, -0.341745,1.15198
0.999, 4.52577, 2.40993,-1.53865,6.23167, -0.340593,1.15249
