No iterations: 1999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.001, 0.999, -1,0.0394763,2.001, 1,-0.0394756
0.002, 0.998, -0.999961,0.0789574,2.002, 0.999961,-0.078959
0.003, 0.997, -0.999882,0.118435,2.003, 0.999882,-0.118436
0.004, 0.996, -0.999763,0.157908,2.004, 0.999763,-0.15791
0.005, 0.995, -0.999605,0.197377,2.005, 0.999605,-0.197378
0.006, 0.994001, -0.999408,0.236841,2.006, 0.999408,-0.236842
0.007, 0.993001, -0.999171,0.276292,2.007, 0.999171,-0.276291
0.008, 0.992002, -0.998895,0.315739,2.008, 0.998895,-0.315739
0.009, 0.991003, -0.998579,0.355176,2.009, 0.998579,-0.355176
0.01, 0.990005, -0.998224,0.394596,2.01, 0.998224,-0.394596
0.011, 0.989007, -0.997829,0.434005,2.01099, 0.997829,-0.434005
0.012, 0.988009, -0.997395,0.473397,2.01199, 0.997395,-0.473396
0.013, 0.987011, -0.996922,0.512774,2.01299, 0.996922,-0.512776
0.014, 0.986014, -0.996409,0.552131,2.01399, 0.996409,-0.552131
0.015, 0.985018, -0.995857,0.591466,2.01498, 0.995857,-0.591465
0.016, 0.984022, -0.995265,0.630781,2.01598, 0.995265,-0.630781
0.017, 0.983027, -0.994635,0.670074,2.01697, 0.994635,-0.670076
0.018, 0.982032, -0.993965,0.709339,2.01797, 0.993965,-0.709338
0.019, 0.981038, -0.993255,0.74858,2.01896, 0.993255,-0.748578
0.02, 0.980045, -0.992507,0.787792,2.01996, 0.992507,-0.78779
0.021, 0.979052, -0.991719,0.826973,2.02095, 0.991719,-0.826972
0.022, 0.978061, -0.990892,0.866127,2.02194, 0.990892,-0.866128
0.023, 0.97707, -0.990026,0.905246,2.02293, 0.990026,-0.905246
0.024, 0.97608, -0.989121,0.944329,2.02392, 0.989121,-0.944328
0.025, 0.975091, -0.988176,0.983378,2.02491, 0.988176,-0.983378
0.026, 0.974103, -0.987193,1.02239,2.0259, 0.987193,-1.02239
0.027, 0.973115, -0.98617,1.06136,2.02688, 0.98617,-1.06136
0.028, 0.972129, -0.985109,1.1003,2.02787, 0.985109,-1.1003
0.029, 0.971144, -0.984009,1.13919,2.02886, 0.984009,-1.13919
0.03, 0.97016, -0.98287,1.17803,2.02984, 0.98287,-1.17804
0.031, 0.969177, -0.981692,1.21683,2.03082, 0.981692,-1.21683
0.032, 0.968195, -0.980475,1.25559,2.0318, 0.980475,-1.25559
0.033, 0.967215, -0.979219,1.2943,2.03278, 0.979219,-1.2943
0.034, 0.966236, -0.977925,1.33295,2.03376, 0.977925,-1.33295
0.035, 0.965258, -0.976592,1.37156,2.03474, 0.976592,-1.37156
0.036, 0.964281, -0.97522,1.41012,2.03572, 0.97522,-1.41012
0.037, 0.963306, -0.97381,1.44862,2.03669, 0.97381,-1.44862
0.038, 0.962332, -0.972362,1.48706,2.03767, 0.972362,-1.48706
0.039, 0.96136, -0.970874,1.52545,2.03864, 0.970874,-1.52545
0.04, 0.960389, -0.969349,1.56378,2.03961, 0.969349,-1.56378
0.041, 0.95942, -0.967785,1.60205,2.04058, 0.967785,-1.60205
0.042, 0.958452, -0.966183,1.64025,2.04155, 0.966183,-1.64025
0.043, 0.957486, -0.964543,1.6784,2.04251, 0.964543,-1.6784
0.044, 0.956521, -0.962865,1.71647,2.04348, 0.962865,-1.71647
0.045, 0.955558, -0.961148,1.75449,2.04444, 0.961148,-1.75449
0.046, 0.954597, -0.959394,1.79243,2.0454, 0.959394,-1.79243
0.047, 0.953638, -0.957601,1.83031,2.04636, 0.957601,-1.8303
0.048, 0.95268, -0.955771,1.86811,2.04732, 0.955771,-1.86811
0.049, 0.951724, -0.953903,1.90585,2.04828, 0.953903,-1.90585
0.05, 0.95077, -0.951997,1.9435,2.04923, 0.951997,-1.94351
0.051, 0.949818, -0.950053,1.98109,2.05018, 0.950053,-1.98109
0.052, 0.948868, -0.948072,2.01859,2.05113, 0.948072,-2.01859
0.053, 0.94792, -0.946054,2.05602,2.05208, 0.946054,-2.05602
0.054, 0.946974, -0.943998,2.09337,2.05303, 0.943998,-2.09337
0.055, 0.94603, -0.941904,2.13064,2.05397, 0.941904,-2.13064
0.056, 0.945088, -0.939774,2.16782,2.05491, 0.939774,-2.16782
0.057, 0.944149, -0.937606,2.20493,2.05585, 0.937606,-2.20493
0.058, 0.943211, -0.935401,2.24194,2.05679, 0.935401,-2.24194
0.059, 0.942276, -0.933159,2.27887,2.05772, 0.933159,-2.27887
0.06, 0.941342, -0.93088,2.31571,2.05866, 0.93088,-2.31571
0.061, 0.940412, -0.928564,2.35246,2.05959, 0.928564,-2.35246
0.062, 0.939483, -0.926212,2.38912,2.06052, 0.926212,-2.38912
0.063, 0.938557, -0.923823,2.42568,2.06144, 0.923823,-2.42568
0.064, 0.937633, -0.921397,2.46215,2.06237, 0.921397,-2.46215
0.065, 0.936712, -0.918935,2.49853,2.06329, 0.918935,-2.49853
0.066, 0.935793, -0.916436,2.5348,2.06421, 0.916436,-2.5348
0.067, 0.934876, -0.913902,2.57098,2.06512, 0.913902,-2.57098
0.068, 0.933962, -0.911331,2.60706,2.06604, 0.911331,-2.60706
0.069, 0.933051, -0.908724,2.64304,2.06695, 0.908724,-2.64304
0.07, 0.932142, -0.906081,2.67892,2.06786, 0.906081,-2.67892
0.071, 0.931236, -0.903402,2.71469,2.06876, 0.903402,-2.71468
0.072, 0.930333, -0.900687,2.75035,2.06967, 0.900687,-2.75035
0.073, 0.929432, -0.897937,2.78591,2.07057, 0.897937,-2.78591
0.074, 0.928534, -0.895151,2.82136,2.07147, 0.895151,-2.82136
0.075, 0.927639, -0.892329,2.8567,2.07236, 0.892329,-2.8567
0.076, 0.926747, -0.889473,2.89193,2.07325, 0.889473,-2.89193
0.077, 0.925857, -0.886581,2.92704,2.07414, 0.886581,-2.92704
0.078, 0.924971, -0.883654,2.96204,2.07503, 0.883654,-2.96204
0.079, 0.924087, -0.880692,2.99692,2.07591, 0.880692,-2.99692
0.08, 0.923206, -0.877695,3.03169,2.07679, 0.877695,-3.03169
0.081, 0.922329, -0.874663,3.06635,2.07767, 0.874663,-3.06635
0.082, 0.921454, -0.871597,3.10087,2.07855, 0.871597,-3.10087
0.083, 0.920582, -0.868496,3.13529,2.07942, 0.868496,-3.13529
0.084, 0.919714, -0.865361,3.16957,2.08029, 0.865361,-3.16957
0.085, 0.918848, -0.862191,3.20373,2.08115, 0.862191,-3.20373
0.086, 0.917986, -0.858987,3.23777,2.08201, 0.858987,-3.23778
0.087, 0.917127, -0.855749,3.27168,2.08287, 0.855749,-3.27168
0.088, 0.916272, -0.852478,3.30547,2.08373, 0.852478,-3.30547
0.089, 0.915419, -0.849172,3.33912,2.08458, 0.849172,-3.33912
0.09, 0.91457, -0.845833,3.37265,2.08543, 0.845833,-3.37265
0.091, 0.913724, -0.842461,3.40604,2.08628, 0.842461,-3.40604
0.092, 0.912882, -0.839055,3.4393,2.08712, 0.839055,-3.4393
0.093, 0.912043, -0.835615,3.47242,2.08796, 0.835615,-3.47242
0.094, 0.911207, -0.832143,3.50541,2.08879, 0.832143,-3.50541
0.095, 0.910375, -0.828637,3.53826,2.08963, 0.828637,-3.53826
0.096, 0.909546, -0.825099,3.57098,2.09045, 0.825099,-3.57098
0.097, 0.908721, -0.821528,3.60355,2.09128, 0.821528,-3.60355
0.098, 0.9079, -0.817925,3.63598,2.0921, 0.817925,-3.63598
0.099, 0.907082, -0.814289,3.66827,2.09292, 0.814289,-3.66827
0.1, 0.906267, -0.81062,3.70042,2.09373, 0.81062,-3.70042
0.101, 0.905457, -0.80692,3.73242,2.09454, 0.80692,-3.73242
0.102, 0.90465, -0.803188,3.76428,2.09535, 0.803188,-3.76428
0.103, 0.903847, -0.799423,3.79599,2.09615, 0.799423,-3.79599
0.104, 0.903047, -0.795627,3.82755,2.09695, 0.795627,-3.82755
0.105, 0.902252, -0.7918,3.85896,2.09775, 0.7918,-3.85896
0.106, 0.90146, -0.787941,3.89022,2.09854, 0.787941,-3.89022
0.107, 0.900672, -0.784051,3.92132,2.09933, 0.784051,-3.92132
0.108, 0.899888, -0.780129,3.95227,2.10011, 0.780129,-3.95227
0.109, 0.899108, -0.776177,3.98307,2.10089, 0.776177,-3.98307
0.11, 0.898331, -0.772194,4.01372,2.10167, 0.772194,-4.01372
0.111, 0.897559, -0.76818,4.0442,2.10244, 0.76818,-4.0442
0.112, 0.896791, -0.764136,4.07453,2.10321, 0.764136,-4.07453
0.113, 0.896027, -0.760061,4.10469,2.10397, 0.760061,-4.1047
0.114, 0.895267, -0.755957,4.1347,2.10473, 0.755957,-4.1347
0.115, 0.894511, -0.751822,4.16454,2.10549, 0.751822,-4.16454
