No iterations: 200
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.72, 1.17995, 0.222657,-7.10427,1.82005, -0.222657,7.10427
0.73, 1.18218, 0.151614,-7.19218,1.81782, -0.151614,7.19218
0.74, 1.1837, 0.0796921,-7.25203,1.8163, -0.0796921,7.25203
0.75, 1.18449, 0.00717185,-7.28349,1.81551, -0.0071718,7.28349
0.76, 1.18456, -0.0656631,-7.28632,1.81544, 0.0656631,7.28632
0.77, 1.18391, -0.138526,-7.2604,1.81609, 0.138526,7.2604
0.78, 1.18252, -0.21113,-7.20571,1.81748, 0.21113,7.20571
0.79, 1.18041, -0.283187,-7.12236,1.81959, 0.283187,7.12236
0.8, 1.17758, -0.354411,-7.01056,1.82242, 0.354411,7.01056
0.81, 1.17404, -0.424517,-6.87065,1.82596, 0.424517,6.87065
0.82, 1.16979, -0.493223,-6.70306,1.83021, 0.493223,6.70306
0.83, 1.16486, -0.560254,-6.50834,1.83514, 0.560254,6.50834
0.84, 1.15926, -0.625337,-6.28716,1.84074, 0.625337,6.28716
0.85, 1.153, -0.688209,-6.04029,1.847, 0.688209,6.04029
0.86, 1.14612, -0.748612,-5.76859,1.85388, 0.748612,5.76859
0.87, 1.13863, -0.806298,-5.47305,1.86137, 0.806298,5.47305
0.88, 1.13057, -0.861028,-5.15474,1.86943, 0.861028,5.15474
0.89, 1.12196, -0.912575,-4.81482,1.87804, 0.912575,4.81482
0.9, 1.11284, -0.960724,-4.45455,1.88716, 0.960724,4.45455
0.91, 1.10323, -1.00527,-4.07527,1.89677, 1.00527,4.07527
0.92, 1.09318, -1.04602,-3.6784,1.90682, 1.04602,3.6784
0.93, 1.08271, -1.08281,-3.26545,1.91729, 1.08281,3.26545
0.94, 1.07189, -1.11546,-2.83798,1.92811, 1.11546,2.83798
0.95, 1.06073, -1.14384,-2.39761,1.93927, 1.14384,2.39761
0.96, 1.04929, -1.16782,-1.94604,1.95071, 1.16782,1.94604
0.97, 1.03762, -1.18728,-1.48501,1.96238, 1.18728,1.48501
0.98, 1.02574, -1.20213,-1.01629,1.97426, 1.20213,1.01629
0.99, 1.01372, -1.21229,-0.541707,1.98628, 1.21229,0.541707
1, 1.0016, -1.21771,-0.0631148,1.9984, 1.21771,0.0631148
1.01, 0.989422, -1.21834,0.417617,2.01058, 1.21834,-0.417618
1.02, 0.977238, -1.21416,0.898598,2.02276, 1.21416,-0.898599
1.03, 0.965097, -1.20518,1.37793,2.0349, 1.20518,-1.37793
1.04, 0.953045, -1.1914,1.85371,2.04696, 1.1914,-1.85371
1.05, 0.941131, -1.17286,2.32406,2.05887, 1.17286,-2.32406
1.06, 0.929402, -1.14962,2.78708,2.0706, 1.14962,-2.78708
1.07, 0.917906, -1.12175,3.24094,2.08209, 1.12175,-3.24094
1.08, 0.906689, -1.08934,3.68378,2.09331, 1.08934,-3.68378
1.09, 0.895795, -1.0525,4.11384,2.1042, 1.0525,-4.11383
1.1, 0.88527, -1.01136,4.52935,2.11473, 1.01136,-4.52934
1.11, 0.875157, -0.966069,4.92862,2.12484, 0.966069,-4.92862
1.12, 0.865496, -0.916783,5.31001,2.1345, 0.916783,-5.31001
1.13, 0.856328, -0.863683,5.67193,2.14367, 0.863683,-5.67193
1.14, 0.847691, -0.806963,6.01291,2.15231, 0.806963,-6.01291
1.15, 0.839622, -0.746834,6.33148,2.16038, 0.746834,-6.33148
1.16, 0.832153, -0.683519,6.62632,2.16785, 0.683519,-6.62632
1.17, 0.825318, -0.617256,6.89616,2.17468, 0.617256,-6.89617
1.18, 0.819146, -0.548295,7.13984,2.18085, 0.548295,-7.13984
1.19, 0.813663, -0.476896,7.3563,2.18634, 0.476896,-7.3563
1.2, 0.808894, -0.403333,7.54457,2.19111, 0.403333,-7.54457
1.21, 0.80486, -0.327887,7.7038,2.19514, 0.327887,-7.7038
1.22, 0.801581, -0.250849,7.83325,2.19842, 0.250849,-7.83325
