No iterations: 400
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0, 1, -1,0,2, 1,0
0.005, 0.995, -1,0.197393,2.005, 1,-0.197395
0.01, 0.99, -0.999013,0.394784,2.01, 0.999013,-0.394784
0.015, 0.985005, -0.997039,0.591982,2.015, 0.997039,-0.591983
0.02, 0.98002, -0.994079,0.788787,2.01998, 0.994079,-0.788786
0.025, 0.975049, -0.990135,0.985015,2.02495, 0.990135,-0.985016
0.03, 0.970099, -0.98521,1.18046,2.0299, 0.98521,-1.18045
0.035, 0.965173, -0.979308,1.37493,2.03483, 0.979308,-1.37493
0.04, 0.960276, -0.972433,1.56824,2.03972, 0.972433,-1.56824
0.045, 0.955414, -0.964592,1.76019,2.04459, 0.964592,-1.76019
0.05, 0.950591, -0.955791,1.95059,2.04941, 0.955791,-1.95059
0.055, 0.945812, -0.946038,2.13926,2.05419, 0.946038,-2.13926
0.06, 0.941082, -0.935342,2.326,2.05892, 0.935342,-2.326
0.065, 0.936405, -0.923712,2.51062,2.06359, 0.923712,-2.51062
0.07, 0.931787, -0.911159,2.69296,2.06821, 0.911159,-2.69296
0.075, 0.927231, -0.897694,2.87281,2.07277, 0.897694,-2.87281
0.08, 0.922742, -0.88333,3.05001,2.07726, 0.88333,-3.05001
0.085, 0.918326, -0.86808,3.22437,2.08167, 0.86808,-3.22437
0.09, 0.913985, -0.851958,3.39573,2.08601, 0.851958,-3.39573
0.095, 0.909725, -0.834979,3.5639,2.09027, 0.834979,-3.5639
0.1, 0.905551, -0.81716,3.72872,2.09445, 0.81716,-3.72872
0.105, 0.901465, -0.798516,3.89002,2.09854, 0.798516,-3.89002
0.11, 0.897472, -0.779066,4.04764,2.10253, 0.779066,-4.04764
0.115, 0.893577, -0.758828,4.20142,2.10642, 0.758828,-4.20142
0.12, 0.889783, -0.737821,4.35121,2.11022, 0.737821,-4.35121
0.125, 0.886094, -0.716065,4.49684,2.11391, 0.716065,-4.49684
0.13, 0.882513, -0.693581,4.63819,2.11749, 0.693581,-4.63819
0.135, 0.879045, -0.67039,4.7751,2.12095, 0.67039,-4.7751
0.14, 0.875693, -0.646514,4.90743,2.12431, 0.646514,-4.90743
0.145, 0.872461, -0.621977,5.03504,2.12754, 0.621977,-5.03504
0.15, 0.869351, -0.596802,5.15782,2.13065, 0.596802,-5.15782
0.155, 0.866367, -0.571013,5.27562,2.13363, 0.571013,-5.27562
0.16, 0.863512, -0.544635,5.38834,2.13649, 0.544635,-5.38834
0.165, 0.860789, -0.517693,5.49584,2.13921, 0.517693,-5.49584
0.17, 0.8582, -0.490214,5.59803,2.1418, 0.490214,-5.59803
0.175, 0.855749, -0.462224,5.6948,2.14425, 0.462224,-5.6948
0.18, 0.853438, -0.43375,5.78603,2.14656, 0.43375,-5.78603
0.185, 0.851269, -0.404819,5.87165,2.14873, 0.404819,-5.87165
0.19, 0.849245, -0.375461,5.95156,2.15075, 0.375461,-5.95156
0.195, 0.847368, -0.345703,6.02567,2.15263, 0.345703,-6.02567
0.2, 0.845639, -0.315575,6.09391,2.15436, 0.315575,-6.09391
0.205, 0.844062, -0.285106,6.1562,2.15594, 0.285106,-6.1562
0.21, 0.842636, -0.254324,6.21248,2.15736, 0.254324,-6.21249
0.215, 0.841364, -0.223262,6.26268,2.15864, 0.223262,-6.26268
0.22, 0.840248, -0.191949,6.30675,2.15975, 0.191949,-6.30675
0.225, 0.839288, -0.160415,6.34465,2.16071, 0.160415,-6.34465
0.23, 0.838486, -0.128692,6.37631,2.16151, 0.128692,-6.37631
0.235, 0.837843, -0.0968101,6.40171,2.16216, 0.0968101,-6.40171
0.24, 0.837359, -0.0648016,6.42082,2.16264, 0.0648016,-6.42082
0.245, 0.837035, -0.0326975,6.43361,2.16297, 0.0326975,-6.43361
0.25, 0.836871, -0.000529399,6.44007,2.16313, 0.000529391,-6.44007
0.255, 0.836869, 0.0316709,6.44017,2.16313, -0.031671,-6.44017
0.26, 0.837027, 0.0638718,6.43392,2.16297, -0.0638718,-6.43392
0.265, 0.837346, 0.0960414,6.42131,2.16265, -0.0960414,-6.42131
0.27, 0.837826, 0.128148,6.40235,2.16217, -0.128148,-6.40235
0.275, 0.838467, 0.16016,6.37706,2.16153, -0.16016,-6.37705
0.28, 0.839268, 0.192045,6.34545,2.16073, -0.192045,-6.34545
0.285, 0.840228, 0.223772,6.30753,2.15977, -0.223772,-6.30753
0.29, 0.841347, 0.25531,6.26336,2.15865, -0.25531,-6.26336
0.295, 0.842624, 0.286627,6.21297,2.15738, -0.286627,-6.21297
0.3, 0.844057, 0.317692,6.15639,2.15594, -0.317692,-6.15639
0.305, 0.845645, 0.348473,6.09368,2.15435, -0.348473,-6.09368
0.31, 0.847388, 0.378942,6.0249,2.15261, -0.378942,-6.0249
0.315, 0.849282, 0.409066,5.9501,2.15072, -0.409066,-5.9501
0.32, 0.851328, 0.438817,5.86935,2.14867, -0.438817,-5.86935
0.325, 0.853522, 0.468164,5.78273,2.14648, -0.468164,-5.78273
0.33, 0.855863, 0.497077,5.69032,2.14414, -0.497077,-5.69032
0.335, 0.858348, 0.525529,5.5922,2.14165, -0.525529,-5.5922
0.34, 0.860976, 0.55349,5.48846,2.13902, -0.55349,-5.48847
0.345, 0.863743, 0.580932,5.37921,2.13626, -0.580932,-5.37921
0.35, 0.866648, 0.607828,5.26454,2.13335, -0.607828,-5.26454
0.355, 0.869687, 0.634151,5.14456,2.13031, -0.634151,-5.14456
0.36, 0.872858, 0.659874,5.01938,2.12714, -0.659874,-5.01938
0.365, 0.876157, 0.684971,4.88912,2.12384, -0.684971,-4.88912
0.37, 0.879582, 0.709416,4.75392,2.12042, -0.709416,-4.75392
0.375, 0.883129, 0.733186,4.61389,2.11687, -0.733186,-4.61389
0.38, 0.886795, 0.756255,4.46916,2.11321, -0.756255,-4.46916
0.385, 0.890576, 0.778601,4.31988,2.10942, -0.778601,-4.31988
0.39, 0.894469, 0.8002,4.16619,2.10553, -0.8002,-4.16619
0.395, 0.89847, 0.821031,4.00824,2.10153, -0.821031,-4.00824
0.4, 0.902575, 0.841073,3.84617,2.09742, -0.841073,-3.84617
0.405, 0.906781, 0.860303,3.68015,2.09322, -0.860303,-3.68015
0.41, 0.911082, 0.878704,3.51033,2.08892, -0.878704,-3.51033
0.415, 0.915476, 0.896256,3.33689,2.08452, -0.896256,-3.33689
0.42, 0.919957, 0.91294,3.15997,2.08004, -0.91294,-3.15997
0.425, 0.924522, 0.92874,2.97976,2.07548, -0.92874,-2.97976
0.43, 0.929165, 0.943639,2.79644,2.07083, -0.943639,-2.79644
0.435, 0.933884, 0.957621,2.61017,2.06612, -0.957621,-2.61017
0.44, 0.938672, 0.970672,2.42115,2.06133, -0.970672,-2.42115
0.445, 0.943525, 0.982778,2.22954,2.05647, -0.982778,-2.22954
