0.1,204.916
0.433333,106.863
0.766667,95.8208
1.1,89.1984
1.43333,83.4008
1.76667,77.838
2.1,72.4669
2.43333,67.39
2.76667,62.6913
3.1,58.404
3.43333,54.5242
3.76667,51.0268
4.1,47.8782
4.43333,45.042
4.76667,42.4831
5.1,40.1691
5.43333,38.0711
5.76667,36.1633
6.1,34.4235
6.43333,32.8322
6.76667,31.3724
7.1,30.0296
7.43333,28.7909
7.76667,27.6454
8.1,26.5834
8.43333,25.5964
8.76667,24.677
9.1,23.8189
9.43333,23.0162
9.76667,22.2639
10.1,21.5575
10.4333,20.8931
10.7667,20.2672
11.1,19.6764
11.4333,19.1181
11.7667,18.5897
12.1,18.0889
12.4333,17.6135
12.7667,17.1618
13.1,16.7321
13.4333,16.3228
13.7667,15.9325
14.1,15.5599
14.4333,15.2039
14.7667,14.8634
15.1,14.5374
15.4333,14.225
15.7667,13.9255
16.1,13.6379
16.4333,13.3617
