Particle 1 position x_1 (cm), y_1 (cm), Particle 1 velocity v_x, v_y |  x_2,y_2,v_x,v_y ; ...
4.21127,1.87729,-307.084,203.135|4.35974,0.0580575,-207.191,108.603|0.100656,1.14803,-244.915,92.72|0.243761,2.6303,-320.143,22.3567|0.216918,0.293885,-259.091,77.7364|2.77063,2.1309,-153.449,129.581|1.45719,3.90372,-135.47,155.765|3.45138,0.728995,-222.249,208.458|0.808821,0.653884,-218.564,202.663|4.59629,4.55149,-296.16,207.92|4.7677,1.48333,-220.41,321.183|2.53607,0.19168,-241.748,183.53|2.11907,0.842021,-197.428,177.038|0.762329,1.23468,-192.333,281.806|4.13197,2.73779,-177.164,272.842|1.14005,3.53026,-142.08,280.573|1.73356,2.22275,-182.727,338.21|3.55066,0.695809,-159.657,371.846|1.56657,3.80834,-202.371,390.918|0.501423,0.374604,-259.529,417.484|
4.2082,1.87933,-306.993,203.335|4.35767,0.0591338,-206.37,107.627|0.0981979,1.14896,-245.815,93.019|0.240552,2.63052,-320.935,22.5019|0.214322,0.294653,-259.592,76.8133|2.76909,2.1322,-153.359,130.033|1.45584,3.90528,-135.256,156.448|3.44916,0.731079,-222.301,208.441|0.806638,0.655905,-218.25,202.149|4.59333,4.55357,-296.123,208.063|4.76551,1.48654,-219.272,321.017|2.53365,0.193505,-242.142,182.508|2.11709,0.843791,-197.764,177.048|0.760407,1.23751,-192.147,282.151|4.1302,2.74053,-177.11,273.83|1.13862,3.53306,-142.582,280.54|1.73173,2.22613,-182.765,338.259|3.54906,0.699526,-159.633,371.755|1.56455,3.81225,-201.826,391.346|0.498828,0.37877,-259.586,416.594|
4.20513,1.88136,-306.902,203.535|4.35562,0.0602003,-205.549,106.652|0.0957308,1.1499,-246.714,93.3161|0.237335,2.63075,-321.725,22.6509|0.211721,0.295412,-260.093,75.8902|2.76756,2.1335,-153.27,130.484|1.45449,3.90685,-135.042,157.128|3.44694,0.733164,-222.353,208.423|0.804459,0.657921,-217.935,201.636|4.59036,4.55565,-296.086,208.207|4.76333,1.48975,-218.133,320.851|2.53122,0.19532,-242.535,181.485|2.11511,0.845562,-198.101,177.058|0.758487,1.24033,-191.961,282.496|4.12843,2.74328,-177.055,274.818|1.13719,3.53587,-143.084,280.506|1.72991,2.22951,-182.802,338.308|3.54746,0.703243,-159.608,371.666|1.56254,3.81617,-201.283,391.775|0.496231,0.382927,-259.643,415.709|
4.20207,1.8834,-306.811,203.735|4.35357,0.0612571,-204.729,105.676|0.0932546,1.15083,-247.613,93.6114|0.23411,2.63098,-322.514,22.8037|0.209115,0.296161,-260.593,74.967|2.76603,2.13481,-153.184,130.937|1.45314,3.90843,-134.828,157.804|3.44471,0.735248,-222.405,208.402|0.802283,0.659933,-217.621,201.123|4.5874,4.55774,-296.049,208.351|4.76116,1.49296,-216.994,320.684|2.5288,0.197125,-242.927,180.462|2.11312,0.847332,-198.439,177.068|0.75657,1.24316,-191.773,282.841|4.12666,2.74604,-177.001,275.806|1.13576,3.53867,-143.589,280.471|1.72808,2.2329,-182.839,338.356|3.54587,0.706959,-159.584,371.577|1.56053,3.82009,-200.741,392.207|0.493634,0.387076,-259.7,414.828|
4.199,1.88544,-306.721,203.935|4.35153,0.0623041,-203.911,104.701|0.0907695,1.15177,-248.512,93.9048|0.230877,2.63121,-323.3,22.9603|0.206504,0.296902,-261.092,74.0438|2.7645,2.13613,-153.1,131.39|1.4518,3.91002,-134.613,158.478|3.44249,0.737332,-222.456,208.38|0.80011,0.661939,-217.306,200.612|4.58444,4.55982,-296.012,208.496|4.759,1.49616,-215.854,320.518|2.52636,0.198919,-243.318,179.439|2.11113,0.849103,-198.778,177.079|0.754654,1.24599,-191.586,283.186|4.12489,2.74881,-176.945,276.793|1.13432,3.54148,-144.094,280.435|1.72625,2.23628,-182.876,338.403|3.54427,0.710673,-159.558,371.488|1.55853,3.82402,-200.202,392.642|0.491036,0.391215,-259.758,413.951|
4.19593,1.88748,-306.631,204.135|4.3495,0.0633414,-203.093,103.727|0.0882754,1.15271,-249.41,94.1963|0.227636,2.63144,-324.085,23.1207|0.203888,0.297633,-261.591,73.1206|2.76297,2.13745,-153.017,131.843|1.45045,3.91161,-134.397,159.147|3.44026,0.739415,-222.508,208.355|0.79794,0.66394,-216.991,200.101|4.58148,4.56191,-295.975,208.641|4.75685,1.49936,-214.713,320.351|2.52392,0.200703,-243.709,178.415|2.10914,0.850874,-199.117,177.091|0.75274,1.24883,-191.397,283.531|4.12312,2.75158,-176.89,277.781|1.13287,3.54428,-144.601,280.398|1.72442,2.23967,-182.912,338.45|3.54268,0.714387,-159.533,371.401|1.55654,3.82795,-199.664,393.079|0.488438,0.395346,-259.816,413.078|
4.19287,1.88952,-306.542,204.335|4.34748,0.0643689,-202.276,102.753|0.0857723,1.15366,-250.308,94.486|0.224387,2.63167,-324.867,23.2849|0.201267,0.298355,-262.09,72.1973|2.76144,2.13877,-152.937,132.296|1.44911,3.91321,-134.181,159.814|3.43804,0.741498,-222.559,208.329|0.795773,0.665936,-216.676,199.591|4.57852,4.564,-295.938,208.786|4.75472,1.50257,-213.571,320.184|2.52148,0.202477,-244.098,177.39|2.10715,0.852645,-199.457,177.103|0.750828,1.25167,-191.209,283.876|4.12136,2.75437,-176.834,278.769|1.13142,3.54708,-145.11,280.36|1.72259,2.24305,-182.948,338.497|3.54108,0.718101,-159.507,371.314|1.55454,3.83189,-199.128,393.519|0.48584,0.399468,-259.874,412.209|
4.1898,1.89157,-306.453,204.535|4.34546,0.0653867,-201.459,101.779|0.0832603,1.15461,-251.206,94.7738|0.221131,2.6319,-325.648,23.4529|0.198642,0.299068,-262.587,71.274|2.75991,2.1401,-152.858,132.75|1.44777,3.91481,-133.965,160.477|3.43581,0.743581,-222.61,208.301|0.79361,0.667927,-216.36,199.082|4.57557,4.56609,-295.901,208.932|4.75259,1.50577,-212.429,320.017|2.51904,0.204241,-244.487,176.366|2.10515,0.854416,-199.798,177.115|0.748918,1.25451,-191.019,284.221|4.11959,2.75717,-176.777,279.756|1.12996,3.54989,-145.619,280.32|1.72076,2.24644,-182.983,338.542|3.53949,0.721813,-159.48,371.228|1.55256,3.83583,-198.594,393.961|0.48324,0.403581,-259.932,411.344|
4.18674,1.89362,-306.364,204.735|4.34346,0.0663947,-200.644,100.806|0.0807392,1.15556,-252.103,95.0598|0.217866,2.63214,-326.426,23.6248|0.196011,0.299771,-263.085,70.3506|2.75838,2.14143,-152.781,133.205|1.44643,3.91642,-133.749,161.137|3.43359,0.745664,-222.661,208.271|0.791449,0.669912,-216.044,198.573|4.57261,4.56818,-295.864,209.078|4.75048,1.50896,-211.286,319.85|2.51659,0.205994,-244.874,175.341|2.10315,0.856188,-200.139,177.129|0.747009,1.25735,-190.829,284.566|4.11782,2.75998,-176.72,280.744|1.1285,3.55269,-146.131,280.28|1.71893,2.24982,-183.018,338.587|3.53789,0.725524,-159.453,371.143|1.55058,3.83977,-198.062,394.405|0.48064,0.407686,-259.991,410.484|
4.18368,1.89567,-306.276,204.934|4.34146,0.0673931,-199.829,99.8332|0.0782092,1.15651,-253,95.344|0.214594,2.63238,-327.203,23.8004|0.193375,0.300465,-263.581,69.4271|2.75685,2.14276,-152.707,133.659|1.4451,3.91804,-133.532,161.793|3.43136,0.747746,-222.712,208.238|0.789292,0.671893,-215.728,198.065|4.56965,4.57027,-295.826,209.225|4.74838,1.51216,-210.142,319.683|2.51414,0.207738,-245.261,174.315|2.10114,0.857959,-200.482,177.142|0.745103,1.2602,-190.639,284.911|4.11605,2.76279,-176.663,281.731|1.12703,3.55549,-146.643,280.239|1.7171,2.25321,-183.053,338.632|3.5363,0.729235,-159.426,371.059|1.5486,3.84372,-197.531,394.852|0.47804,0.411783,-260.05,409.627|
